Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2000 US Open QF,L vs Sampras,40.5%,57.7%,43.4%,46.4%,57.6%,79.7%,52.0%,68.6%,46.2%,51.5%,100.0%,28.2%,43.6%,35.7%,29
1999 Stuttgart F,L vs Enqvist,43.2%,55.2%,34.8%,48.6%,56.6%,71.1%,48.5%,65.4%,56.4%,48.6%,25.0%,25.0%,34.1%,21.2%,75
1999 Stuttgart SF,W vs Rusedski,57.4%,63.0%,50.0%,62.4%,71.4%,82.1%,75.0%,81.1%,58.3%,43.8%,0.0%,44.0%,44.0%,35.7%,-21
1999 US Open QF,L vs Kafelnikov,46.1%,57.9%,42.2%,52.4%,67.0%,79.6%,61.8%,78.0%,35.7%,39.3%,50.0%,21.0%,33.9%,28.6%,73
1999 Miami F,W vs Grosjean,38.8%,54.3%,47.0%,45.3%,61.7%,76.7%,60.9%,74.2%,53.1%,71.4%,0.0%,15.7%,33.3%,39.5%,39
1999 Miami SF,W vs Enqvist,49.0%,65.3%,68.2%,54.7%,68.2%,77.3%,71.4%,80.9%,63.6%,27.3%,-,37.5%,62.5%,66.7%,89
1998 Stuttgart F,W vs Kafelnikov,51.4%,69.4%,61.8%,60.0%,62.5%,83.3%,83.3%,75.4%,60.9%,52.0%,-,30.4%,43.5%,37.5%,-16
1998 Stuttgart SF,W vs Sampras,51.5%,67.3%,57.8%,59.1%,58.9%,82.1%,78.3%,72.7%,50.0%,28.6%,-,46.3%,53.7%,36.4%,56
1998 Canada F,L vs Rafter,23.1%,36.9%,43.6%,29.8%,34.4%,46.9%,42.9%,48.1%,43.8%,31.3%,100.0%,18.2%,40.9%,44.4%,58
1998 Canada SF,W vs Agassi,37.9%,54.7%,53.7%,42.9%,60.0%,72.0%,60.0%,69.6%,21.4%,54.5%,50.0%,15.0%,40.0%,50.0%,29
1998 Wimbledon SF,L vs Ivanisevic,51.3%,61.3%,41.7%,56.5%,65.5%,77.6%,50.0%,74.1%,50.0%,32.8%,0.0%,33.3%,40.9%,34.1%,28
1998 Monte Carlo SF,L vs Moya,26.6%,44.3%,45.5%,36.8%,46.3%,68.3%,68.2%,66.1%,29.2%,23.5%,0.0%,5.7%,20.0%,30.3%,-60
1997 Stuttgart F,L vs Korda,51.2%,63.4%,42.9%,56.2%,58.9%,71.4%,47.8%,66.3%,39.1%,51.5%,0.0%,42.9%,57.1%,33.3%,110
1997 Stuttgart SF,W vs Bjorkman,53.9%,60.5%,50.0%,58.2%,70.8%,79.2%,71.4%,77.5%,43.5%,20.0%,0.0%,28.0%,32.0%,33.3%,83
1997 Wimbledon R16,L vs Henman,47.2%,64.6%,50.7%,54.9%,55.3%,74.1%,63.2%,68.2%,31.3%,52.8%,50.0%,37.5%,53.6%,37.1%,-2
1996 Tour Finals SF,L vs Becker,44.9%,51.0%,53.1%,50.2%,56.7%,60.0%,53.8%,65.3%,47.8%,37.8%,100.0%,30.3%,42.4%,52.2%,120
1996 US Open R128,L vs Edberg,41.9%,53.5%,31.8%,44.9%,56.5%,65.2%,25.0%,62.2%,33.3%,57.9%,66.7%,29.4%,47.1%,37.5%,148
1996 Wimbledon SF,W vs Stoltenberg,43.2%,52.3%,48.9%,49.5%,55.3%,63.8%,47.6%,67.2%,43.8%,35.5%,60.0%,30.8%,41.0%,48.1%,29
1996 Wimbledon QF,W vs Sampras,45.5%,58.0%,50.0%,50.3%,74.5%,87.3%,71.4%,84.2%,58.3%,32.3%,0.0%,29.4%,50.0%,37.5%,44
1996 Wimbledon R16,W vs Stich,48.0%,63.3%,52.4%,55.2%,63.0%,75.9%,65.0%,76.1%,54.2%,50.0%,50.0%,37.1%,60.0%,40.9%,173
Career (34 matches),,39.5%,53.5%,47.2%,45.7%,55.5%,70.3%,54.9%,66.7%,43.4%,41.5%,36.3%,23.5%,38.9%,40.4%,74
