Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2019 Wimbledon SF,L vs Williams,99.1,104.3,3.4,106.3,102.6,110,95,90.3,4.6,92.5,81.0,96,81
2019 Wimbledon QF,W vs Konta,99.8,103.8,2.4,104.4,100.9,107,98,89.1,4.1,90.5,,97,84
2019 Wimbledon R16,W vs Mertens,92.5,98.3,4.6,100.2,96.5,107,86,80.7,4.3,83.7,83.0,90,71
2019 Wimbledon R32,W vs Bertens,96.9,104.2,3.9,105.2,103.1,111,92,85.2,3.8,89.0,86.0,91,75
2018 US Open R32,L vs Mertens,93.6,97.1,7.3,101.6,93.8,108,77,85.8,3.6,90.5,86.0,93,79
2018 US Open R64,W vs Arruabarrena,89.1,95.4,5.3,97.7,94.2,106,79,79.0,3.4,81.0,77.0,85,69
2018 Wimbledon R32,L vs Goerges,98.9,102.1,3.4,104.0,99.5,108,91,89.1,3.9,90.3,92.0,96,79
2018 Wimbledon R128,W vs Kuznetsova,90.4,94.8,4.9,96.2,94.3,103,83,80.0,5.6,82.0,84.0,93,68
2017 US Open R64,L vs Brady,86.7,89.7,5.8,97.3,88.3,100,78,78.2,3.7,,,85,72
2017 US Open R128,W vs Doi,92.1,97.9,3.9,99.3,96.0,105,92,83.6,3.2,82.1,,89,77
2017 Roland Garros R128,W vs Riske Amritraj,93.6,98.9,6.5,,,107,75,81.8,4.5,,,91,74
2017 Australian Open R16,L vs Williams,94.1,99.6,4.6,102.8,101.5,105,86,83.2,4.5,85.0,85.5,92,74
2017 Australian Open R32,W vs Garcia,91.5,98.0,3.3,99.7,97.0,104,90,79.7,3.1,82.0,,86,74
2017 Australian Open R64,W vs Petkovic,92.8,97.6,4.9,98.9,99.4,105,85,78.2,3.1,74.0,,82,70
2017 Australian Open R128,W vs Kulichkova,94.5,98.4,4.0,99.4,98.2,105,91,82.5,4.1,88.0,77.0,89,77
2016 US Open R128,L vs Niculescu,91.1,96.8,5.6,100.4,95.6,107,83,78.4,6.5,85.0,82.5,89,65
2016 Wimbledon R32,L vs Makarova,91.8,96.4,5.7,101.6,91.0,106,83,84.7,5.0,88.0,88.0,93,71
2016 Roland Garros R32,L vs Radwanska,89.7,93.2,6.8,96.0,95.1,106,81,80.9,5.3,82.8,76.0,96,70
2016 Roland Garros R64,W vs Hercog,92.8,98.2,5.4,,,108,85,76.5,7.7,,,90,65
2016 Australian Open R16,L vs Azarenka,93.7,98.3,3.6,,,105,92,82.1,3.1,,,89,78
Career (40 matches),,93.5,98.6,4.6,101.0,97.2,139,74,82.8,4.3,85.4,83.7,98,65
