Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2023 Wimbledon R64,L vs Linette,77.1%,44.6%,9.4%,4/5,2.52,7.4%,77.9%,37.7%,7.4%,2.62,13.2%,84.0%,61.9%,16.0%,2.43,0.0%
2023 Wimbledon R128,W vs Zanevska,64.3%,58.3%,7.1%,2/2,2.51,24.3%,69.7%,47.8%,3.0%,2.51,43.8%,81.3%,76.9%,18.8%,2.51,9.5%
2021 Australian Open R128,L vs Kuznetsova,67.9%,36.8%,7.1%,2/2,2.27,2.4%,81.1%,26.7%,5.4%,2.20,4.0%,57.1%,75.0%,14.3%,2.36,0.0%
2020 Dubai R32,W vs Anisimova,82.8%,51.2%,10.1%,6/4,2.46,0.0%,85.9%,47.3%,9.4%,2.40,0.0%,87.1%,59.3%,12.9%,2.53,0.0%
2019 Wuhan R32,L vs Halep,72.9%,48.8%,10.2%,1/5,2.43,6.4%,75.0%,43.3%,7.5%,1.99,11.1%,76.5%,61.5%,17.6%,3.02,0.0%
2019 US Open R128,L vs Bolsova,86.1%,54.4%,1.3%,1/0,2.34,1.8%,93.1%,53.7%,0.0%,2.15,2.7%,87.5%,57.1%,6.3%,2.70,0.0%
2019 Wimbledon SF,L vs Williams,72.7%,31.3%,9.1%,1/3,2.71,0.0%,67.9%,15.8%,10.7%,2.68,0.0%,86.7%,53.8%,6.7%,2.75,0.0%
2019 Wimbledon QF,W vs Konta,87.9%,48.3%,6.1%,4/0,2.70,7.7%,87.8%,55.6%,9.8%,2.57,10.3%,91.7%,36.4%,0.0%,3.09,0.0%
2019 Wimbledon R16,W vs Mertens,78.6%,51.5%,3.6%,2/1,2.53,6.8%,84.9%,57.8%,1.9%,2.30,10.4%,75.0%,38.1%,7.1%,2.98,0.0%
2019 Wimbledon R32,W vs Bertens,81.0%,51.0%,6.3%,2/2,2.23,15.2%,80.6%,44.0%,3.2%,1.99,29.2%,92.9%,57.7%,10.7%,2.42,0.0%
2019 Wimbledon R64,W vs Siegemund,84.9%,53.2%,4.3%,2/2,2.22,63.3%,92.3%,55.0%,4.6%,1.83,77.8%,76.0%,47.4%,4.0%,2.71,45.5%
2019 Birmingham SF,L vs Barty,62.1%,38.9%,1.7%,1/0,2.53,29.3%,41.9%,46.2%,3.2%,2.56,27.3%,88.5%,34.8%,0.0%,2.51,31.6%
2019 Prague SF,L vs Teichmann,74.5%,36.6%,5.5%,1/2,2.56,2.3%,76.3%,34.5%,5.3%,2.26,0.0%,75.0%,41.7%,6.3%,3.06,6.3%
2019 Indian Wells R64,L vs Halep,83.3%,48.9%,1.9%,1/0,2.49,0.0%,83.3%,53.3%,0.0%,2.34,0.0%,93.8%,40.0%,6.3%,2.91,0.0%
2019 Doha QF,L vs Kerber,78.0%,53.1%,4.9%,3/1,2.33,1.2%,78.0%,46.2%,8.0%,2.39,1.9%,86.2%,64.0%,0.0%,2.21,0.0%
2018 Fed Cup RR,W vs Kenin,83.3%,50.7%,3.3%,3/0,2.58,6.7%,85.7%,52.1%,3.6%,2.55,8.7%,93.1%,48.1%,3.4%,2.61,3.4%
2017 Linz F,W vs Rybarikova,84.6%,61.8%,3.1%,0/2,2.01,0.0%,86.5%,53.1%,5.4%,2.00,0.0%,82.1%,73.9%,0.0%,2.03,0.0%
2017 Toronto R16,L vs Halep,69.2%,41.7%,0.0%,0/0,2.72,0.0%,75.0%,44.4%,0.0%,2.71,0.0%,64.3%,33.3%,0.0%,2.73,0.0%
2017 Birmingham R16,L vs Barty,76.7%,39.4%,1.2%,1/0,2.53,24.4%,80.0%,32.5%,0.0%,2.11,15.4%,86.7%,50.0%,3.3%,3.11,36.8%
2017 Stuttgart R16,L vs Halep,86.8%,45.7%,1.9%,1/0,2.17,0.0%,82.4%,39.3%,2.9%,2.19,0.0%,100.0%,55.6%,0.0%,2.14,0.0%
Last 52 Weeks (2 matches),,72.4%,49.1%,8.6%,46.2%,2.52,12.1%,75.2%,40.8%,5.9%,2.60,20.3%,82.9%,67.6%,17.1%,2.45,3.2%
Career (36 matches),,79.4%,47.4%,4.5%,51.9%,2.50,9.1%,82.2%,45.5%,4.1%,2.41,11.4%,85.7%,51.2%,6.1%,2.64,5.4%
