Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,350,171,179,48.9%,380-415,47.8%,3658-3748,49.4%,39-48,44.8%,294,64.8%,37.7%,2.8%,3.7%,64.0%,60.8%,45.6%,55.3%,44.0%,49.7%,0.99
Clay,170,82,88,48.2%,183-206,47.0%,1754-1845,48.7%,16-20,44.4%,128,65.0%,35.2%,2.3%,2.9%,66.9%,58.6%,46.8%,54.7%,44.2%,49.4%,0.98
Grass,82,46,36,56.1%,98-85,53.6%,910-861,51.4%,10-9,52.6%,73,75.3%,33.7%,3.9%,3.5%,64.0%,64.9%,50.7%,59.8%,41.7%,50.6%,1.04
Carpet,4,1,3,25.0%,4-6,40.0%,48-58,45.3%,3-1,75.0%,4,-,-,1.3%,1.9%,65.5%,58.0%,51.9%,55.9%,37.9%,47.1%,0.86
Grand Slams,114,55,59,48.2%,125-130,49.0%,1212-1210,50.0%,14-9,60.9%,95,71.6%,34.9%,2.9%,3.6%,64.6%,62.1%,48.2%,57.2%,43.1%,50.2%,1.01
Premiers,206,101,105,49.0%,223-241,48.1%,2161-2210,49.4%,27-33,45.0%,175,65.4%,36.9%,2.8%,3.5%,65.3%,60.9%,47.4%,56.2%,43.4%,49.7%,0.99
Internationals,205,108,97,52.7%,241-239,50.2%,2233-2222,50.1%,19-30,38.8%,164,68.9%,37.5%,2.9%,3.2%,64.4%,60.8%,46.3%,55.6%,44.1%,49.8%,0.99
Finals,8,2,6,25.0%,5-13,27.8%,59-85,41.0%,0-0,-,8,66.7%,19.2%,2.4%,2.0%,65.7%,56.1%,40.1%,50.6%,40.5%,45.7%,0.82
Semi-finals,21,8,13,38.1%,19-29,39.6%,203-240,45.8%,2-4,33.3%,19,59.3%,23.6%,3.0%,2.2%,63.5%,61.4%,47.7%,56.4%,40.8%,48.7%,0.94
Quarter-finals,50,21,29,42.0%,51-66,43.6%,532-561,48.7%,5-6,45.5%,43,69.3%,32.0%,2.8%,3.5%,64.1%,62.3%,49.0%,57.5%,42.4%,49.8%,1.00
vs Righties,540,271,269,50.2%,599-628,48.8%,5696-5796,49.6%,63-66,48.8%,443,66.4%,36.9%,2.8%,3.5%,64.8%,60.7%,46.7%,55.7%,43.8%,49.7%,0.99
vs Lefties,61,27,34,44.3%,62-76,44.9%,625-655,48.8%,5-11,31.3%,52,67.7%,33.8%,2.9%,3.3%,64.9%,62.3%,46.8%,56.9%,42.9%,49.9%,0.99
vs Top 10,70,10,60,14.3%,28-121,18.8%,518-848,37.9%,9-8,52.9%,60,54.2%,27.0%,2.3%,3.7%,64.5%,57.3%,39.9%,51.1%,39.0%,45.1%,0.80
