Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2023 Wimbledon R64,L vs Linette,21.4%,30.2%,39.6%,26.0%,38.4%,35.2%,39.4%,32.5%,44.4%,16.0%,20.0%,45.2%,9.1%,3.6%,0.0%,-36
2023 Wimbledon R128,W vs Zanevska,34.4%,47.5%,55.3%,51.4%,68.6%,58.8%,31.3%,42.1%,-,12.5%,20.8%,52.4%,7.7%,0.0%,0.0%,-11
2021 Australian Open R128,L vs Kuznetsova,14.8%,22.2%,46.5%,16.1%,29.0%,57.7%,18.2%,20.0%,20.0%,15.0%,15.0%,29.4%,28.6%,0.0%,0.0%,31
2020 Dubai R32,W vs Anisimova,28.0%,29.9%,33.8%,36.1%,37.7%,35.9%,17.9%,27.3%,28.6%,20.0%,22.5%,31.3%,5.0%,10.0%,25.0%,53
2019 Wuhan R32,L vs Halep,25.8%,28.8%,27.7%,32.5%,37.5%,33.3%,50.0%,50.0%,50.0%,16.7%,16.7%,20.0%,60.0%,42.9%,25.0%,-11
2019 US Open R128,L vs Bolsova,9.2%,9.2%,39.3%,7.5%,7.5%,43.2%,36.8%,47.6%,50.0%,13.6%,13.6%,31.6%,33.3%,50.0%,33.3%,19
2019 Wimbledon SF,L vs Williams,26.8%,29.3%,31.0%,24.0%,28.0%,36.8%,38.5%,33.3%,100.0%,33.3%,33.3%,20.0%,40.0%,40.0%,0.0%,-28
2019 Wimbledon QF,W vs Konta,32.3%,40.3%,59.0%,32.6%,44.2%,51.7%,47.4%,12.5%,0.0%,37.5%,37.5%,80.0%,40.0%,18.2%,0.0%,87
2019 Wimbledon R16,W vs Mertens,19.6%,28.3%,52.1%,21.3%,34.4%,62.5%,42.4%,42.9%,60.0%,16.7%,16.7%,32.0%,37.5%,59.1%,66.7%,-65
2019 Wimbledon R32,W vs Bertens,27.3%,40.9%,57.4%,37.5%,57.5%,68.0%,30.0%,50.0%,80.0%,12.0%,16.0%,45.5%,44.4%,43.8%,50.0%,-57
2019 Wimbledon R64,W vs Siegemund,22.5%,39.4%,52.0%,28.2%,46.2%,53.6%,50.0%,42.1%,0.0%,18.5%,37.0%,50.0%,41.7%,20.0%,0.0%,61
2019 Birmingham SF,L vs Barty,29.5%,34.4%,46.3%,37.1%,42.9%,54.5%,57.9%,37.5%,50.0%,20.8%,25.0%,36.8%,11.1%,46.7%,-,-11
2019 Prague SF,L vs Teichmann,8.5%,14.9%,41.9%,6.9%,17.2%,40.7%,78.6%,66.7%,0.0%,11.1%,11.1%,43.8%,87.5%,50.0%,66.7%,-104
2019 Indian Wells R64,L vs Halep,3.4%,8.5%,44.4%,2.5%,10.0%,46.2%,47.1%,52.2%,71.4%,6.3%,6.3%,40.0%,11.1%,85.7%,100.0%,-58
2019 Doha QF,L vs Kerber,14.4%,22.7%,47.0%,16.4%,26.9%,48.2%,33.3%,45.0%,50.0%,10.0%,13.3%,44.4%,57.1%,31.3%,33.3%,-104
2018 Fed Cup RR,W vs Kenin,20.8%,30.7%,46.1%,26.6%,40.6%,48.9%,50.0%,42.1%,57.1%,12.1%,15.2%,41.4%,31.3%,47.1%,100.0%,6
2017 Linz F,W vs Rybarikova,18.8%,25.0%,56.8%,26.5%,35.3%,76.0%,28.6%,45.0%,-,0.0%,0.0%,16.7%,50.0%,66.7%,-,-119
2017 Toronto R16,L vs Halep,15.0%,15.0%,37.9%,18.5%,18.5%,27.3%,69.2%,28.6%,100.0%,12.5%,12.5%,71.4%,40.0%,33.3%,-,-30
2017 Birmingham R16,L vs Barty,30.0%,31.4%,40.0%,42.2%,44.4%,46.2%,52.2%,50.0%,100.0%,9.5%,9.5%,31.6%,0.0%,46.7%,50.0%,-27
2017 Stuttgart R16,L vs Halep,20.9%,20.9%,21.9%,21.4%,21.4%,22.7%,53.3%,53.8%,0.0%,23.1%,23.1%,20.0%,16.7%,85.7%,50.0%,57
Last 52 Weeks (2 matches),,25.7%,35.8%,44.0%,34.3%,48.1%,40.8%,36.7%,35.6%,44.4%,14.9%,20.3%,47.6%,8.6%,2.6%,0.0%,-27
Career (36 matches),,20.6%,27.2%,43.5%,24.8%,33.9%,46.5%,41.0%,35.3%,43.5%,15.4%,18.0%,38.7%,26.2%,35.5%,37.2%,21
