Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2023,1,0,1,0.0%,1-2,33.3%,13-14,48.1%,0-1,0.0%,1,61.5%,38.5%,1.3%,2.6%,64.9%,60.0%,44.4%,54.5%,45.5%,49.4%,1.00,R32 (Strasbourg)
2021,23,9,14,39.1%,23-30,43.4%,218-261,45.5%,4-0,100.0%,23,53.9%,36.2%,1.1%,4.4%,64.4%,56.0%,44.5%,51.9%,44.5%,48.2%,0.92,QF (Australian Open)
2020,8,1,7,12.5%,3-14,17.6%,59-99,37.3%,1-0,100.0%,8,48.7%,25.3%,0.2%,4.7%,62.3%,54.1%,43.3%,50.0%,40.7%,45.3%,0.81,R32 (3x)
2019,55,31,24,56.4%,71-64,52.6%,663-630,51.3%,10-8,55.6%,55,65.4%,36.8%,0.9%,4.2%,64.4%,61.8%,46.7%,56.4%,44.6%,50.5%,1.02,SF (2x)
2018,49,32,17,65.3%,66-46,58.9%,544-473,53.5%,5-4,55.6%,49,65.2%,42.0%,1.2%,4.2%,63.7%,60.9%,48.1%,56.3%,47.0%,51.6%,1.08,W (Hiroshima)
2017,23,8,15,34.8%,21-34,38.2%,230-280,45.1%,3-4,42.9%,23,51.7%,38.9%,1.5%,3.5%,64.5%,57.4%,40.9%,51.5%,44.3%,48.0%,0.91,QF (Nanchang)
2016,28,15,13,53.6%,33-34,49.3%,311-312,49.9%,3-4,42.9%,24,64.6%,35.1%,1.6%,3.8%,59.1%,61.9%,47.0%,55.8%,43.6%,49.6%,0.99,SF (Kaohsiung)
2015,12,7,5,58.3%,15-15,50.0%,135-132,50.6%,1-0,100.0%,7,60.0%,42.6%,2.9%,3.9%,60.9%,60.4%,53.2%,57.6%,43.6%,50.8%,1.03,SF (Kuala Lumpur)
2014,18,6,12,33.3%,15-27,35.7%,167-219,43.3%,2-4,33.3%,14,-,-,1.2%,3.9%,62.7%,55.7%,40.5%,50.1%,43.6%,46.9%,0.87,QF (2x)
2013,38,13,25,34.2%,32-53,37.6%,344-431,44.4%,5-7,41.7%,33,-,-,1.0%,4.4%,63.6%,55.0%,42.4%,50.4%,44.4%,47.4%,0.90,QF (Kuala Lumpur)
2012,38,23,15,60.5%,51-37,58.0%,429-380,53.0%,5-5,50.0%,30,-,-,0.9%,3.4%,64.6%,62.7%,47.6%,57.4%,46.7%,52.0%,1.09,W (2x)
2011,2,1,1,50.0%,3-2,60.0%,25-18,58.1%,0-1,0.0%,2,-,-,0.0%,2.8%,64.2%,57.4%,51.6%,55.3%,47.5%,52.2%,1.06,R16 (Guangzhou)
2010,2,0,2,0.0%,1-4,20.0%,23-27,46.0%,0-2,0.0%,2,-,-,0.6%,4.9%,61.0%,63.0%,39.1%,53.7%,43.8%,48.5%,0.95,R32 (2x)
2009,3,1,2,33.3%,2-4,33.3%,27-32,45.8%,0-0,-,3,-,-,0.5%,5.8%,58.7%,52.3%,46.2%,49.7%,48.3%,49.0%,0.96,R16 (Guangzhou)
2008,15,6,9,40.0%,15-21,41.7%,152-180,45.8%,2-1,66.7%,11,-,-,1.6%,5.4%,55.0%,60.8%,43.4%,53.0%,44.7%,48.7%,0.95,R16 (Australian Open)
2007,15,7,8,46.7%,17-18,48.6%,157-167,48.5%,1-1,50.0%,3,-,-,0.4%,4.0%,58.7%,61.4%,46.2%,55.1%,36.6%,45.7%,0.82,R16 (Bangalore)
2006,6,1,5,16.7%,3-11,21.4%,59-74,44.4%,0-1,0.0%,2,-,-,0.0%,2.2%,70.5%,54.1%,51.2%,53.2%,37.5%,45.7%,0.80,
2005,3,0,3,0.0%,1-6,14.3%,23-40,36.5%,0-1,0.0%,1,-,-,0.0%,2.2%,68.9%,45.2%,28.6%,40.0%,31.9%,35.9%,0.53,R32 (2x)
2003,4,0,4,0.0%,1-8,11.1%,24-52,31.6%,0-0,-,0,,,,,,,,,,,,
2002,1,0,1,0.0%,0-2,0.0%,2-12,14.3%,0-0,-,0,,,,,,,,,,,,R32 (Waikoloa)
2001,7,5,2,71.4%,12-7,63.2%,101-82,55.2%,0-2,0.0%,0,,,,,,,,,,,,SF (Bali)
Career,351,166,185,47.3%,386-439,46.8%,3706-3915,48.6%,42-46,47.7%,291,61.6%,37.8%,1.1%,4.1%,63.2%,59.4%,45.5%,54.3%,44.8%,49.6%,0.98,
