Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2024 Australian Open Q1,L vs Bondar,10.1%,22.8%,56.5%,15.6%,31.1%,65.8%,30.0%,12.0%,0.0%,3.1%,12.5%,45.2%,7.7%,15.8%,0.0%,-85
2021 Chicago R64,W vs Clijsters,24.8%,30.5%,47.9%,26.7%,33.3%,52.3%,48.1%,30.3%,33.3%,27.0%,32.4%,40.7%,23.5%,20.0%,50.0%,110
2021 US Open R64,L vs Sorribes Tormo,6.7%,15.0%,32.1%,7.9%,15.8%,25.7%,47.4%,15.8%,16.7%,4.5%,13.6%,42.9%,8.3%,20.0%,16.7%,-104
2021 Wimbledon R128,L vs Swiatek,22.7%,31.8%,51.1%,25.6%,37.2%,53.1%,40.0%,26.1%,33.3%,23.5%,29.4%,46.2%,50.0%,45.5%,0.0%,81
2021 Australian Open QF,L vs Osaka,21.1%,33.3%,42.9%,23.1%,38.5%,46.7%,44.4%,57.1%,62.5%,20.0%,26.7%,33.3%,57.1%,12.5%,0.0%,73
2021 Australian Open R16,W vs Vondrousova,21.2%,28.8%,66.7%,20.0%,31.4%,75.0%,40.0%,45.0%,0.0%,26.7%,26.7%,45.5%,75.0%,42.9%,0.0%,38
2021 Australian Open R32,W vs Errani,11.1%,19.7%,40.6%,11.5%,21.8%,41.6%,63.4%,37.0%,41.7%,11.1%,14.8%,37.5%,66.7%,33.3%,0.0%,-4
2021 Australian Open R64,W vs Andreescu,15.7%,21.6%,53.7%,18.2%,27.3%,51.9%,58.8%,31.3%,33.3%,12.5%,12.5%,57.1%,28.6%,44.4%,0.0%,9
2021 Australian Open R128,W vs Pironkova,30.6%,38.7%,52.5%,35.6%,44.4%,55.2%,60.9%,13.6%,0.0%,21.4%,28.6%,45.5%,57.1%,14.3%,0.0%,84
2020 Roland Garros R64,L vs Swiatek,8.1%,16.1%,38.9%,13.5%,27.0%,50.0%,42.9%,37.5%,45.5%,0.0%,0.0%,22.7%,11.1%,61.5%,100.0%,-119
2020 Doha R64,L vs Zvonareva,11.1%,23.8%,50.0%,11.1%,26.7%,52.5%,41.7%,28.6%,-,11.1%,16.7%,43.8%,14.3%,36.4%,50.0%,-104
2020 Dubai R32,L vs Martic,15.1%,18.9%,35.6%,6.5%,12.9%,37.9%,53.8%,44.4%,66.7%,27.3%,27.3%,31.3%,15.4%,33.3%,100.0%,-104
2020 Adelaide R32,L vs Sabalenka,25.8%,36.0%,43.8%,27.9%,42.6%,38.6%,37.5%,62.1%,60.0%,23.1%,23.1%,55.0%,27.3%,46.7%,66.7%,-18
2019 Hiroshima R16,W vs Hon,24.1%,27.8%,40.8%,25.7%,31.4%,48.1%,50.0%,44.4%,30.0%,25.0%,25.0%,25.0%,7.1%,66.7%,66.7%,87
2019 Hiroshima R32,W vs Ozaki,13.4%,28.0%,50.7%,15.2%,37.0%,56.4%,64.5%,53.3%,66.7%,11.8%,17.6%,43.3%,62.5%,73.1%,100.0%,-37
2019 US Open R64,L vs Muchova,13.8%,19.1%,40.0%,13.2%,22.6%,45.7%,28.6%,68.0%,83.3%,17.1%,17.1%,31.0%,7.7%,45.5%,100.0%,50
2019 Toronto R64,L vs Kenin,20.3%,29.7%,37.2%,25.0%,37.5%,46.7%,54.5%,27.8%,33.3%,18.8%,25.0%,15.4%,50.0%,50.0%,66.7%,25
2019 Washington QF,L vs Mcnally,13.4%,20.9%,41.1%,17.4%,21.7%,44.7%,47.8%,60.9%,66.7%,5.3%,21.1%,33.3%,12.5%,63.6%,50.0%,-64
2019 Washington R16,W vs Gracheva,10.2%,15.3%,42.7%,11.6%,20.3%,45.9%,57.6%,38.9%,20.0%,8.7%,8.7%,38.1%,23.5%,51.7%,57.1%,-30
2019 Wimbledon R32,L vs Pliskova,21.3%,31.9%,52.1%,25.4%,36.5%,53.2%,22.6%,71.9%,80.0%,14.3%,25.0%,50.0%,0.0%,64.7%,100.0%,13
Career (48 matches),,17.7%,26.2%,45.4%,19.0%,29.6%,48.6%,48.0%,45.4%,49.6%,17.5%,22.6%,39.0%,32.7%,44.7%,45.8%,35
