Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2024 Australian Open Q1,L vs Bondar,0.0%,-,10.9%,56.3%,17.9%,25.0%,0.0%,10.9%,28.6%,4.8%,54.5%,25,-3
2021 Chicago R64,W vs Clijsters,0.0%,-,4.2%,77.8%,12.7%,33.3%,0.0%,7.6%,23.1%,2.5%,25.0%,-93,-48
2021 US Open R64,L vs Sorribes Tormo,0.0%,-,10.2%,72.7%,9.3%,15.6%,0.0%,8.7%,23.1%,1.7%,40.0%,80,36
2021 Wimbledon R128,L vs Swiatek,3.1%,50.0%,15.1%,66.7%,8.3%,16.7%,0.0%,17.0%,40.0%,4.1%,33.3%,23,51
2021 Australian Open QF,L vs Osaka,0.0%,-,2.8%,100.0%,12.5%,10.0%,100.0%,23.2%,50.0%,1.4%,50.0%,80,51
2021 Australian Open R16,W vs Vondrousova,0.0%,-,5.3%,83.3%,13.9%,8.7%,0.0%,13.8%,33.3%,1.9%,0.0%,-8,-4
2021 Australian Open R32,W vs Errani,0.9%,100.0%,11.6%,63.0%,14.2%,29.0%,0.0%,11.0%,20.0%,1.3%,28.6%,-8,-25
2021 Australian Open R64,W vs Andreescu,0.0%,-,9.3%,70.0%,18.6%,21.1%,0.0%,7.3%,25.0%,1.0%,100.0%,-64,-66
2021 Australian Open R128,W vs Pironkova,0.0%,-,4.9%,100.0%,9.7%,35.7%,0.0%,13.1%,23.5%,2.3%,60.0%,58,69
2020 Roland Garros R64,L vs Swiatek,0.0%,-,8.5%,66.7%,22.5%,50.0%,0.0%,17.8%,26.7%,1.4%,0.0%,11,-26
2020 Doha R64,L vs Zvonareva,0.0%,-,3.3%,100.0%,15.6%,41.7%,0.0%,14.0%,34.6%,1.1%,33.3%,26,2
2020 Dubai R32,L vs Martic,0.0%,-,5.2%,71.4%,7.2%,0.0%,0.0%,7.1%,20.0%,0.7%,0.0%,-10,-37
2020 Adelaide R32,L vs Sabalenka,0.0%,-,3.1%,100.0%,17.3%,23.5%,0.0%,22.2%,50.0%,1.8%,25.0%,-25,-16
2019 Hiroshima R16,W vs Hon,19.4%,57.1%,15.3%,66.7%,7.7%,0.0%,100.0%,14.5%,14.3%,7.5%,31.6%,-74,-38
2019 Hiroshima R32,W vs Ozaki,1.3%,100.0%,7.9%,53.8%,26.4%,36.7%,0.0%,7.0%,26.1%,4.4%,42.9%,95,54
2019 US Open R64,L vs Muchova,4.3%,75.0%,10.2%,78.9%,7.5%,10.0%,0.0%,10.0%,33.3%,1.5%,25.0%,-11,-18
2019 Toronto R64,L vs Kenin,0.0%,-,5.3%,57.1%,19.3%,16.7%,0.0%,8.9%,25.0%,2.8%,0.0%,35,64
2019 Washington QF,L vs Mcnally,3.0%,0.0%,7.3%,11.1%,16.2%,23.5%,0.0%,22.0%,46.2%,2.6%,0.0%,56,16
2019 Washington R16,W vs Gracheva,0.8%,0.0%,6.0%,71.4%,9.3%,22.2%,0.0%,9.0%,22.6%,2.5%,8.3%,-12,-36
2019 Wimbledon R32,L vs Pliskova,1.1%,0.0%,8.2%,71.4%,22.8%,30.0%,0.0%,18.3%,44.4%,5.7%,50.0%,15,0
Career (48 matches),,1.2%,51.2%,7.6%,72.1%,14.8%,23.3%,20.9%,10.8%,26.2%,2.7%,33.2%,3,-5
