Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,189,80,109,42.3%,185-236,43.9%,1759-2024,46.5%,19-22,46.3%,6,-,-,0.7%,8.7%,59.6%,54.4%,43.8%,50.1%,38.1%,44.1%,0.76
Clay,76,27,49,35.5%,64-102,38.6%,688-831,45.3%,7-12,36.8%,2,-,-,0.9%,14.7%,60.3%,55.7%,23.9%,43.1%,35.7%,39.7%,0.63
Grass,34,16,18,47.1%,38-43,46.9%,366-394,48.2%,3-4,42.9%,4,-,-,1.9%,7.3%,64.9%,52.4%,42.4%,48.9%,45.4%,47.1%,0.89
Carpet,37,15,22,40.5%,38-44,46.3%,352-404,46.6%,7-2,77.8%,0,,,,,,,,,,,
Grand Slams,55,24,31,43.6%,58-72,44.6%,569-632,47.4%,6-4,60.0%,9,-,-,1.5%,7.6%,62.9%,54.8%,44.7%,51.1%,41.5%,46.1%,0.85
Premiers,135,51,84,37.8%,122-184,39.9%,1269-1534,45.3%,11-14,44.0%,1,-,-,0.0%,20.6%,52.4%,51.5%,23.3%,38.1%,35.1%,37.0%,0.57
Internationals,51,25,26,49.0%,58-59,49.6%,548-555,49.7%,8-7,53.3%,2,-,-,0.0%,11.2%,58.9%,49.2%,29.5%,41.1%,35.9%,38.6%,0.61
Finals,3,0,3,0.0%,0-6,0.0%,13-36,26.5%,0-0,-,0,,,,,,,,,,,
Semi-finals,5,2,3,40.0%,6-6,50.0%,55-55,50.0%,1-0,100.0%,0,,,,,,,,,,,
Quarter-finals,19,6,13,31.6%,16-27,37.2%,168-216,43.8%,1-2,33.3%,0,,,,,,,,,,,
vs Righties,297,120,177,40.4%,285-380,42.9%,2807-3260,46.3%,27-36,42.9%,11,-,-,1.1%,9.2%,60.9%,53.4%,41.2%,48.6%,40.8%,44.7%,0.79
vs Lefties,28,11,17,39.3%,24-34,41.4%,225-269,45.5%,5-4,55.6%,1,-,-,1.9%,7.5%,69.8%,59.5%,25.0%,49.1%,36.1%,42.1%,0.71
vs Top 10,35,3,32,8.6%,12-64,15.8%,217-434,33.3%,3-1,75.0%,2,-,-,1.6%,8.1%,62.1%,53.2%,46.8%,50.8%,31.4%,42.0%,0.64
