Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2006,376,49,189,1534,189,1480,164,1505,106,1539,,,,
2005,91,381,114,1661,107,1612,115,1588,66,1607,,,,
2004,77,467,80,1753,69,1703,90,1647,36,1679,,,,
2003,114,308,57,1809,45,1771,72,1684,,,,,,
2002,23,1177,35,1888,31,1823,57,1742,28,1722,,,,
2001,40,787,34,1874,33,1797,68,1704,27,1729,,,,
2000,34,843,31,1912,32,1840,71,1688,32,1732,,,,
1999,40,714,49,1850,50,1757,79,1687,38,1719,,,,
1998,78,349,79,1759,74,1683,85,1648,51,1658,,,,
1997,97,276,92,1724,89,1661,93,1656,103,1546,,,,
1996,159,136,154,1649,156,1569,146,1594,,,,,,
1995,179,8,210,1620,211,1546,146,1626,90,1589,,,,
1994,142,9,75,1786,88,1678,50,1758,46,1693,,,,
