Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2019 Istanbul Q2,L vs Baindl,0.80,0.55,35.6,2.0,0.0%,33.3%,9.1%,63.6%,41.4%,30.8%
2019 Istanbul Q1,W vs Mrdeza,1.11,1.28,70.6,6.3,0.0%,52.5%,0.0%,44.4%,56.4%,62.2%
2019 W25 Kazan R16,L vs Rakhimova,0.93,0.60,39.0,2.2,6.7%,46.7%,3.4%,55.2%,36.7%,25.9%
2019 W25 Kazan R32,W vs Savinykh,1.15,1.47,51.0,2.2,0.0%,53.3%,3.4%,62.1%,57.1%,50.0%
2019 W25 Macon R32,L vs Krejcikova,0.96,0.86,68.4,2.7,0.0%,59.6%,0.0%,46.9%,39.1%,43.5%
2019 Dubai Q1,L vs Brady,0.94,0.68,50.3,2.2,5.4%,59.5%,0.0%,45.7%,40.6%,27.6%
2019 Doha Q1,L vs Zhu,0.93,0.86,69.8,4.7,2.0%,49.0%,4.2%,64.6%,27.9%,52.5%
2018 Limoges R32,L vs Voracova,1.10,0.81,62.9,4.1,4.3%,45.7%,11.9%,59.5%,39.6%,30.4%
2018 US Open Q3,L vs Jabeur,0.89,0.82,61.0,2.0,0.0%,38.5%,0.0%,51.4%,47.1%,55.2%
2018 US Open Q2,W vs Badosa,1.02,1.58,46.5,2.3,0.0%,75.9%,0.0%,58.6%,60.7%,40.7%
2018 US Open Q1,W vs Kiick,1.13,1.42,46.4,2.7,0.0%,54.8%,0.0%,41.0%,60.0%,71.0%
2018 Bucharest R32,L vs Parmentier,0.94,0.80,78.7,5.9,0.0%,47.9%,0.0%,60.9%,39.0%,38.9%
2018 Wimbledon R64,L vs Williams,1.06,0.76,48.8,4.4,2.7%,43.2%,0.0%,57.1%,35.6%,36.4%
2018 Wimbledon R128,W vs Pliskova,1.27,1.26,48.8,2.7,0.0%,61.9%,0.0%,58.5%,32.6%,47.4%
2018 Wimbledon Q3,W vs Zidansek,0.99,1.16,71.7,7.9,5.3%,61.4%,1.9%,52.8%,52.8%,47.1%
2018 Wimbledon Q2,W vs Lu,1.20,1.26,52.3,3.6,0.0%,61.9%,0.0%,41.5%,45.5%,56.1%
2018 Roland Garros R64,L vs Kontaveit,0.87,0.76,56.5,2.4,0.0%,36.1%,0.0%,69.7%,47.1%,36.4%
2018 Roland Garros R128,W vs Mchale,1.09,1.11,88.2,6.8,1.6%,53.2%,0.0%,52.5%,53.1%,42.4%
2018 Roland Garros Q3,W vs Korpatsch,1.06,1.14,93.6,26.9,0.0%,43.1%,0.0%,56.8%,52.5%,57.4%
2018 Roland Garros Q2,W vs Cabrera,0.87,1.21,58.5,3.0,0.0%,50.0%,0.0%,70.3%,52.2%,60.5%
2019 (7 matches),,0.98,0.88,58.2,2.7,1.9%,51.7%,2.4%,54.0%,41.1%,44.0%
2018 (24 matches),,1.03,1.07,64.7,3.1,1.0%,52.3%,1.1%,54.0%,48.5%,49.5%
2017 (41 matches),,1.03,1.13,55.6,2.8,0.3%,52.7%,0.6%,56.5%,49.0%,51.4%
2016 (12 matches),,0.99,0.81,54.2,2.6,2.4%,50.8%,0.6%,46.7%,40.7%,42.4%
2015 (21 matches),,0.99,0.97,56.2,2.8,1.6%,55.2%,1.9%,51.9%,42.0%,49.6%
Career (153 matches),,1.01,1.03,58.8,2.8,1.2%,53.8%,1.1%,54.7%,46.1%,47.5%
