Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,7,Hard,11,4,7,36.4%,3,2,1,66.7%,2010,2018,R64,11,0.99,1.6%,4.8%,72.8%,57.6%,42.2%,53.4%,46.0%,55.3%,56.7%
Roland Garros,8,Clay,18,10,8,55.6%,6,3,3,50.0%,2010,2021,R32,14,1.00,1.0%,3.0%,71.9%,57.1%,49.5%,55.0%,45.1%,55.3%,38.2%
Wimbledon,5,Grass,12,7,5,58.3%,2,1,1,50.0%,2010,2021,R32,9,0.89,2.0%,5.9%,69.0%,59.9%,41.1%,54.1%,40.7%,52.9%,41.0%
US Open,7,Hard,14,7,7,50.0%,6,3,3,50.0%,2009,2018,R32,11,1.02,1.0%,4.2%,70.6%,58.5%,44.8%,54.5%,46.4%,54.3%,50.0%
Fed Cup,3,,9,6,3,66.7%,1,1,0,100.0%,2010,2015,,0,,,,,,,,,,
Miami,5,Hard,11,6,5,54.5%,4,1,3,25.0%,2010,2016,QF,8,1.05,1.4%,3.7%,68.5%,55.7%,44.4%,52.1%,50.2%,54.1%,53.2%
Madrid,5,Clay,9,4,5,44.4%,3,1,2,33.3%,2010,2015,R16,9,0.96,1.5%,2.7%,73.2%,55.7%,48.6%,53.8%,44.4%,54.3%,45.9%
Dubai,5,Hard,8,3,5,37.5%,3,1,2,33.3%,2010,2019,R32,6,0.87,1.0%,5.2%,66.6%,57.2%,47.1%,53.8%,40.3%,60.3%,48.6%
Indian Wells,5,Hard,7,2,5,28.6%,0,0,0,-,2010,2016,R64,7,0.92,1.5%,6.2%,64.4%,60.8%,41.6%,54.0%,42.4%,53.7%,45.5%
Cincinnati,5,Hard,6,1,5,16.7%,1,1,0,100.0%,2009,2015,R64,4,0.83,0.9%,9.2%,65.1%,62.4%,35.0%,52.8%,39.0%,40.7%,50.0%
Bucharest,4,Clay,10,6,4,60.0%,0,0,0,-,2014,2018,QF,9,1.15,0.5%,2.8%,81.4%,58.8%,55.8%,58.3%,48.2%,59.5%,51.1%
