Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2021,18,12,6,66.7%,26-14,65.0%,200-154,56.5%,2-0,100.0%,1,40.0%,40.0%,0.0%,6.0%,70.1%,46.8%,45.0%,46.3%,48.1%,47.2%,0.89,F (W60 Saint-Gaudens)
2019,3,1,2,33.3%,3-4,42.9%,31-32,49.2%,0-0,-,0,,,,,,,,,,,,R16 (W25 Kazan)
2018,18,10,8,55.6%,24-19,55.8%,198-198,50.0%,3-2,60.0%,1,53.8%,7.7%,8.0%,2.3%,72.7%,57.8%,37.5%,52.3%,35.1%,43.4%,0.74,QF (4x)
2017,41,26,15,63.4%,56-31,64.4%,430-347,55.3%,5-3,62.5%,1,40.0%,36.4%,0.0%,1.3%,71.4%,43.6%,59.1%,48.1%,43.9%,46.2%,0.85,W (2x)
2016,1,0,1,0.0%,1-1,50.0%,8-10,44.4%,0-0,-,0,,,,,,,,,,,,R32 (Marseille $100K)
2015,10,8,2,80.0%,17-7,70.8%,128-88,59.3%,0-1,0.0%,0,,,,,,,,,,,,W (Contrexeville $100K)
2014,25,18,7,72.0%,37-13,74.0%,277-197,58.4%,3-3,50.0%,1,-,-,3.3%,3.3%,75.0%,51.1%,73.3%,56.7%,32.1%,44.8%,0.74,W (2x)
2013,18,12,6,66.7%,24-15,61.5%,195-150,56.5%,1-2,33.3%,0,,,,,,,,,,,,W (Antalya 10K)
2012,9,7,2,77.8%,14-7,66.7%,106-79,57.3%,2-0,100.0%,0,,,,,,,,,,,,W (Cali 100K)
2011,2,1,1,50.0%,2-2,50.0%,17-18,48.6%,1-0,100.0%,0,,,,,,,,,,,,R16 (Dubai 75K)
2010,3,2,1,66.7%,5-2,71.4%,39-22,63.9%,1-0,100.0%,0,,,,,,,,,,,,QF (Monzon 75K)
2009,44,33,11,75.0%,68-33,67.3%,517-371,58.2%,4-3,57.1%,0,,,,,,,,,,,,W (3x)
2008,27,13,14,48.1%,29-29,50.0%,268-270,49.8%,3-3,50.0%,0,,,,,,,,,,,,SF (Sarajevo 25K)
2007,41,26,15,63.4%,56-40,58.3%,460-393,53.9%,5-2,71.4%,0,,,,,,,,,,,,F (2x)
2006,27,15,12,55.6%,33-25,56.9%,259-237,52.2%,5-0,100.0%,0,,,,,,,,,,,,F (Cairo 10K)
2005,21,15,6,71.4%,31-13,70.5%,223-156,58.8%,2-0,100.0%,0,,,,,,,,,,,,W (Bucharest 1 10K)
2004,4,2,2,50.0%,4-5,44.4%,36-37,49.3%,0-0,-,0,,,,,,,,,,,,R16 (2x)
Career,312,201,111,64.4%,430-260,62.3%,3392-2759,55.1%,37-19,66.1%,4,45.5%,26.5%,3.1%,3.1%,72.3%,50.2%,51.9%,50.7%,39.9%,45.3%,0.81,
