Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,23,14,9,60.9%,28-20,58.3%,229-205,52.8%,1-3,25.0%,0,,,,,,,,,,,
Clay,12,4,8,33.3%,12-17,41.4%,122-151,44.7%,1-2,33.3%,0,,,,,,,,,,,
Finals,2,1,1,50.0%,2-1,66.7%,16-12,57.1%,0-0,-,0,,,,,,,,,,,
Semi-finals,3,2,1,66.7%,4-3,57.1%,38-31,55.1%,0-1,0.0%,0,,,,,,,,,,,
Quarter-finals,5,3,2,60.0%,6-5,54.5%,48-46,51.1%,0-0,-,0,,,,,,,,,,,
vs Righties,26,14,12,53.8%,31-27,53.4%,266-263,50.3%,1-3,25.0%,0,,,,,,,,,,,
vs Lefties,2,0,2,0.0%,1-4,20.0%,13-29,31.0%,0-0,-,0,,,,,,,,,,,
