Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
7,Carina Witthoeft [GER],2,5,28.6%,0,0,0,-,2013,2016,1,1.00,2.4%,3.7%,58.5%,56.3%,47.1%,52.4%,47.7%,50.0%,77.8%
7,Lesley Pattinama Kerkhove [NED],4,3,57.1%,1,0,1,0.0%,2009,2014,0,,,,,,,,,,
6,Lara Arruabarrena [ESP],1,5,16.7%,1,0,1,0.0%,2011,2020,3,0.86,1.8%,3.1%,62.1%,57.4%,40.7%,51.1%,42.3%,53.3%,54.5%
6,Arantxa Rus [NED],5,1,83.3%,3,2,1,66.7%,2010,2019,1,1.24,4.5%,6.0%,68.7%,67.4%,42.9%,59.7%,50.0%,75.0%,71.4%
6,Kiki Bertens [NED],3,3,50.0%,1,1,0,100.0%,2009,2017,2,0.90,1.2%,6.5%,54.8%,50.0%,40.8%,45.8%,49.0%,51.6%,44.4%
5,Daniela Seguel [CHI],4,1,80.0%,1,0,1,0.0%,2013,2021,0,,,,,,,,,,
5,Viktorija Golubic [SUI],2,3,40.0%,2,2,0,100.0%,2013,2021,3,0.95,1.9%,5.0%,65.1%,50.7%,44.6%,48.6%,48.8%,44.4%,52.8%
5,Kristina Kucova [SVK],3,2,60.0%,2,0,2,0.0%,2010,2020,4,1.13,3.0%,6.1%,58.8%,66.7%,45.9%,58.1%,47.5%,60.5%,48.7%
5,Oceane Dodin [FRA],5,0,100.0%,1,1,0,100.0%,2015,2019,0,,,,,,,,,,
5,Tena Lukas [CRO],4,1,80.0%,1,0,1,0.0%,2015,2019,1,0.84,3.0%,5.9%,61.4%,62.9%,51.3%,58.4%,34.9%,63.6%,50.0%
5,Myrtille Georges [FRA],4,1,80.0%,0,0,0,-,2012,2018,0,,,,,,,,,,
5,Valentini Grammatikopoulou [GRE],3,2,60.0%,1,0,1,0.0%,2015,2018,0,,,,,,,,,,
4,Kaia Kanepi [EST],0,4,0.0%,0,0,0,-,2014,2020,2,0.65,1.1%,11.6%,50.5%,35.4%,34.0%,34.7%,42.6%,18.8%,45.5%
4,Viktoriya Tomova [BUL],2,2,50.0%,0,0,0,-,2018,2020,2,0.93,0.0%,7.1%,58.6%,55.2%,41.5%,49.5%,47.0%,35.7%,46.7%
4,Mariana Duque Marino [COL],0,4,0.0%,2,0,2,0.0%,2014,2018,0,,,,,,,,,,
