Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2021 ITF Johannesburg F,W vs Bhunu,16.3%,21.7%,48.6%,16.1%,24.2%,55.8%,74.1%,51.4%,50.0%,18.5%,18.5%,31.8%,8.3%,33.3%,33.3%,17
2019 US Open R128,L vs Vekic,16.7%,19.2%,42.6%,18.8%,20.8%,43.6%,51.9%,38.1%,40.0%,15.4%,19.2%,40.9%,0.0%,47.4%,0.0%,35
2019 Fed Cup RR,L vs Andreescu,29.8%,34.0%,38.7%,34.5%,41.4%,42.1%,60.0%,64.3%,50.0%,25.0%,25.0%,33.3%,0.0%,70.0%,-,30
2016 Fed Cup RR,L vs Mladenovic,29.4%,35.3%,29.5%,37.5%,45.0%,36.0%,75.0%,65.0%,60.0%,20.8%,25.0%,21.1%,20.0%,50.0%,50.0%,68
2016 Fed Cup RR,W vs Kuznetsova,6.2%,17.9%,53.7%,2.6%,21.1%,56.8%,61.9%,58.8%,25.0%,10.4%,14.9%,50.0%,7.7%,65.9%,100.0%,-69
2015 Australian Open R128,L vs Kvitova,24.5%,24.5%,35.1%,25.0%,25.0%,41.7%,36.8%,23.1%,0.0%,27.8%,27.8%,23.1%,14.3%,0.0%,0.0%,17
Career (6 matches),,17.4%,23.6%,45.1%,18.8%,27.5%,49.4%,60.7%,51.8%,40.0%,16.9%,19.7%,38.5%,8.8%,50.0%,36.4%,1
