Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,20,9,11,45.0%,23-25,47.9%,244-261,48.3%,11-7,61.1%,19,81.7%,14.5%,13.4%,4.5%,63.2%,72.9%,51.7%,65.1%,33.2%,49.4%,0.95
Clay,8,3,5,37.5%,10-9,52.6%,99-101,49.5%,3-0,100.0%,7,76.5%,21.2%,6.2%,3.4%,62.3%,69.3%,47.5%,61.1%,39.0%,49.6%,1.00
Grass,4,2,2,50.0%,5-4,55.6%,45-42,51.7%,1-1,50.0%,4,88.6%,13.3%,12.1%,5.2%,63.7%,73.4%,56.2%,67.1%,30.2%,48.9%,0.92
Grand Slams,7,3,4,42.9%,13-11,54.2%,123-124,49.8%,4-3,57.1%,7,78.5%,20.3%,10.7%,5.2%,62.6%,72.1%,45.1%,62.0%,35.5%,49.3%,0.93
Masters,6,2,4,33.3%,6-6,50.0%,63-63,50.0%,3-0,100.0%,6,80.3%,17.5%,12.9%,4.3%,60.0%,72.5%,53.3%,64.8%,36.6%,50.3%,1.04
Other Tours,18,8,10,44.4%,18-20,47.4%,189-204,48.1%,7-4,63.6%,17,83.1%,13.0%,11.4%,3.7%,64.4%,71.8%,54.6%,65.7%,33.1%,49.2%,0.96
Best of 5,7,3,4,42.9%,13-11,54.2%,123-124,49.8%,4-3,57.1%,7,78.5%,20.3%,10.7%,5.2%,62.6%,72.1%,45.1%,62.0%,35.5%,49.3%,0.93
Best of 3,25,11,14,44.0%,25-27,48.1%,265-280,48.6%,11-5,68.8%,23,82.4%,14.1%,11.8%,3.8%,63.3%,72.0%,54.2%,65.5%,34.0%,49.5%,0.98
Quarter-finals,2,0,2,0.0%,1-4,20.0%,19-28,40.4%,0-1,0.0%,2,78.3%,4.3%,12.7%,7.0%,61.3%,71.3%,52.7%,64.1%,26.4%,45.4%,0.74
vs Righties,30,12,18,40.0%,34-37,47.9%,356-379,48.4%,14-7,66.7%,29,81.2%,14.9%,11.7%,4.3%,63.0%,72.0%,51.6%,64.5%,33.9%,49.3%,0.95
vs Lefties,2,2,0,100.0%,4-1,80.0%,32-25,56.1%,1-1,50.0%,1,80.0%,43.8%,4.2%,5.3%,63.2%,73.3%,37.1%,60.0%,47.6%,53.5%,1.19
vs Top 10,5,0,5,0.0%,1-11,8.3%,45-74,37.8%,1-0,100.0%,5,67.2%,8.3%,9.8%,4.9%,64.2%,64.9%,44.8%,57.7%,30.1%,45.0%,0.71
