Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),117,561,170,1613,226,1489,103,1632,176,1474,,,,
2025,131,468,158,1621,208,1505,110,1628,173,1478,,,,
2024,143,417,185,1573,204,1498,144,1577,204,1440,1250,20,,
2023,229,276,239,1509,251,1442,185,1506,203,1423,,,,
2022,223,247,159,1612,177,1531,131,1591,,,,,,
2021,199,330,142,1631,172,1532,119,1602,157,1502,,,,
2020,241,226,193,1523,200,1460,142,1538,,,681,51,,
2019,209,236,182,1571,225,1469,118,1584,229,1393,,,,
2018,123,463,152,1605,221,1460,96,1630,204,1419,449,46,,
2017,220,235,191,1549,208,1475,135,1558,208,1405,478,109,,
2016,146,417,189,1550,182,1510,164,1518,196,1424,1157,18,,
2015,223,231,229,1490,223,1447,205,1470,,,383,178,,
2014,247,199,237,1488,296,1342,203,1476,,,514,107,,
2013,275,168,280,1433,320,1316,242,1427,213,1388,301,209,,
2012,200,238,188,1553,274,1390,153,1543,169,1471,234,287,,
2011,324,136,301,1403,,,270,1389,,,584,78,,
2010,430,87,,,,,,,,,963,24,,
2009,473,67,,,,,,,,,990,21,,
2008,622,35,,,,,,,,,1419,8,,
