Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,12,2,10,16.7%,10-25,28.6%,143-192,42.7%,1-3,25.0%,10,74.5%,13.5%,6.6%,4.8%,61.7%,69.7%,45.8%,60.6%,33.3%,47.0%,0.84
Clay,31,15,16,48.4%,33-44,42.9%,352-396,47.1%,5-4,55.6%,31,71.1%,23.6%,3.1%,4.1%,57.2%,65.3%,49.6%,58.6%,38.0%,48.6%,0.92
Grass,1,0,1,0.0%,2-3,40.0%,20-23,46.5%,0-0,-,1,76.2%,18.2%,9.9%,4.1%,59.5%,77.8%,42.9%,63.6%,33.3%,48.4%,0.92
Grand Slams,14,5,9,35.7%,20-31,39.2%,236-275,46.2%,3-4,42.9%,14,74.1%,19.5%,6.0%,4.4%,60.9%,68.1%,47.7%,60.1%,36.4%,48.3%,0.91
Masters,1,0,1,0.0%,0-2,0.0%,8-12,40.0%,0-0,-,1,70.0%,10.0%,4.3%,7.2%,56.5%,64.1%,50.0%,58.0%,30.2%,44.7%,0.72
Other Tours,27,12,15,44.4%,25-35,41.7%,256-299,46.1%,3-2,60.0%,27,70.6%,21.9%,2.7%,4.1%,56.5%,66.0%,49.0%,58.6%,36.9%,48.1%,0.89
Best of 5,14,5,9,35.7%,20-31,39.2%,236-275,46.2%,3-4,42.9%,14,74.1%,19.5%,6.0%,4.4%,60.9%,68.1%,47.7%,60.1%,36.4%,48.3%,0.91
Best of 3,30,12,18,40.0%,25-41,37.9%,279-336,45.4%,3-3,50.0%,28,70.6%,21.5%,2.8%,4.2%,56.5%,65.9%,49.1%,58.6%,36.7%,48.0%,0.89
Semi-finals,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,1,28.6%,12.5%,0.0%,10.5%,55.3%,52.4%,23.5%,39.5%,36.5%,37.6%,0.60
Quarter-finals,2,1,1,50.0%,2-2,50.0%,15-17,46.9%,0-0,-,2,75.0%,18.8%,0.8%,5.1%,56.8%,64.2%,51.0%,58.5%,39.0%,49.3%,0.94
vs Righties,39,17,22,43.6%,42-60,41.2%,460-530,46.5%,6-6,50.0%,37,73.0%,21.2%,4.3%,4.2%,58.4%,67.6%,48.7%,59.7%,36.6%,48.4%,0.91
vs Lefties,4,0,4,0.0%,2-10,16.7%,46-68,40.4%,0-1,0.0%,4,67.9%,15.5%,4.2%,5.5%,59.0%,62.9%,47.3%,56.5%,36.7%,46.7%,0.84
vs Top 10,2,1,1,50.0%,3-2,60.0%,23-24,48.9%,1-0,100.0%,2,65.4%,24.0%,3.6%,4.8%,60.5%,64.4%,43.9%,56.3%,34.5%,46.2%,0.79
