Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,10,Hard,19,9,10,47.4%,1,0,1,0.0%,2013,2024,R16,19,1.02,6.8%,4.9%,60.0%,68.7%,46.6%,59.9%,40.9%,51.4%,45.3%
Roland Garros,10,Clay,20,10,10,50.0%,6,4,2,66.7%,2013,2023,QF,20,0.97,3.9%,2.9%,60.5%,61.3%,51.1%,57.3%,41.5%,52.0%,50.3%
Wimbledon,8,Grass,12,4,8,33.3%,3,0,3,0.0%,2013,2023,R32,11,0.88,4.7%,5.2%,61.8%,65.4%,44.3%,57.3%,37.6%,57.4%,42.6%
US Open,12,Hard,31,19,12,61.3%,11,8,3,72.7%,2010,2024,QF,25,1.00,4.7%,3.6%,60.6%,65.2%,49.9%,59.2%,40.7%,58.4%,46.3%
Fed Cup,1,,1,0,1,0.0%,0,0,0,-,2017,2017,,1,0.80,0.0%,2.0%,51.0%,57.7%,32.0%,45.1%,43.8%,0.0%,40.0%
Cleveland,2,Hard,2,0,2,0.0%,1,0,1,0.0%,2021,2024,R32,2,0.89,7.0%,4.7%,53.8%,66.3%,41.8%,55.0%,39.9%,59.1%,29.4%
Cincinnati,7,Hard,10,3,7,30.0%,4,2,2,50.0%,2013,2024,R16,10,0.90,8.2%,4.7%,59.1%,65.0%,44.3%,56.5%,39.0%,64.7%,40.0%
Washington,5,Hard,6,1,5,16.7%,0,0,0,-,2014,2024,R16,6,0.84,4.2%,5.2%,58.1%,64.5%,40.8%,54.6%,38.4%,50.0%,37.0%
Rome,6,Clay,7,1,6,14.3%,0,0,0,-,2015,2024,R64,6,0.93,3.5%,3.7%,60.0%,64.0%,51.6%,59.1%,37.9%,52.3%,41.7%
Madrid,5,Clay,8,3,5,37.5%,1,0,1,0.0%,2017,2024,R32,8,0.95,4.3%,1.8%,60.5%,67.2%,48.0%,59.6%,38.5%,56.3%,42.9%
Charleston,12,Clay,21,9,12,42.9%,9,3,6,33.3%,2010,2024,QF,21,1.01,4.5%,3.4%,60.3%,63.4%,48.4%,57.4%,42.8%,53.7%,49.2%
