Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2024 US Open R128,L vs Pegula,22.0%,28.0%,46.2%,24.0%,32.0%,36.8%,35.7%,54.5%,0.0%,20.0%,24.0%,55.0%,0.0%,37.5%,0.0%,-104
2024 Australian Open R128,L vs Raducanu,20.8%,31.3%,47.2%,20.7%,34.5%,60.9%,61.5%,75.0%,66.7%,23.5%,29.4%,23.1%,40.0%,71.4%,-,23
2023 Roland Garros R128,L vs Martic,17.5%,26.3%,47.6%,21.2%,28.8%,48.8%,34.6%,53.8%,60.0%,12.0%,24.0%,45.5%,18.2%,71.4%,100.0%,5
2023 Miami R64,L vs Sabalenka,32.0%,40.0%,30.3%,43.3%,56.7%,35.3%,29.4%,61.5%,75.0%,15.8%,15.8%,25.0%,25.0%,72.7%,0.0%,-43
2023 Miami R128,W vs Stephens,31.4%,47.1%,58.7%,31.9%,53.2%,68.8%,50.0%,48.1%,50.0%,33.3%,38.1%,35.7%,12.5%,46.2%,-,1
2023 Indian Wells R128,W vs Volynets,22.7%,36.1%,52.1%,33.3%,43.9%,52.6%,55.6%,50.0%,25.0%,8.3%,27.8%,51.5%,68.8%,45.0%,40.0%,-30
2023 Australian Open R64,L vs Sabalenka,28.2%,34.6%,28.8%,40.5%,52.4%,36.0%,47.1%,48.0%,66.7%,15.6%,15.6%,22.2%,15.0%,75.0%,75.0%,30
2022 Cincinnati R16,L vs Sabalenka,27.4%,44.3%,46.6%,38.1%,55.6%,51.3%,50.0%,42.4%,100.0%,12.8%,30.8%,41.2%,42.1%,65.0%,100.0%,8
2022 San Jose F,L vs Kasatkina,11.3%,25.8%,48.8%,12.7%,32.4%,48.4%,50.0%,61.5%,60.0%,8.3%,8.3%,50.0%,44.4%,60.0%,75.0%,-30
2022 San Jose R32,W vs Andreescu,32.1%,49.1%,61.1%,26.5%,50.0%,68.0%,31.3%,50.0%,100.0%,42.1%,47.4%,45.5%,25.0%,45.5%,0.0%,-104
2022 s Hertogenbosch SF,L vs Sabalenka,27.4%,35.5%,32.6%,26.2%,33.3%,22.6%,42.9%,38.1%,16.7%,33.3%,44.4%,58.3%,20.0%,69.2%,100.0%,17
2021 Chicago R32,W vs Andreescu,30.9%,40.7%,45.5%,37.5%,50.0%,46.7%,44.0%,60.9%,66.7%,21.9%,28.1%,44.0%,21.4%,27.8%,50.0%,-67
2021 US Open R16,L vs Raducanu,19.5%,26.8%,25.0%,21.9%,28.1%,20.0%,27.8%,57.1%,66.7%,12.5%,25.0%,42.9%,66.7%,40.0%,50.0%,9
2021 US Open R32,W vs Barty,20.2%,26.2%,53.0%,24.5%,32.1%,57.5%,53.8%,40.7%,0.0%,13.3%,16.7%,46.2%,27.3%,0.0%,0.0%,-65
2021 Eastbourne R32,W vs Bertens,29.9%,32.8%,44.4%,28.3%,32.6%,48.5%,55.6%,47.4%,50.0%,36.8%,36.8%,33.3%,20.0%,28.6%,0.0%,11
2021 Berlin R32,L vs Rybakina,32.5%,38.6%,56.3%,39.6%,50.0%,58.6%,50.0%,30.0%,33.3%,29.6%,29.6%,52.6%,28.6%,61.5%,0.0%,144
2021 Roland Garros R128,L vs Peterson,13.3%,16.2%,53.0%,12.3%,13.8%,54.4%,44.0%,35.0%,60.0%,18.8%,25.0%,50.0%,11.8%,40.0%,50.0%,54
2021 Charleston 2 QF,L vs Kovinic,14.6%,29.2%,43.6%,22.2%,38.9%,42.9%,57.1%,54.5%,66.7%,10.7%,25.0%,44.0%,21.4%,64.3%,100.0%,-23
2020 US Open QF,L vs Osaka,21.0%,32.3%,42.6%,28.9%,44.7%,51.9%,42.9%,58.8%,33.3%,9.1%,13.6%,30.0%,28.6%,53.3%,100.0%,-23
2020 US Open R16,W vs Kvitova,32.8%,42.2%,40.5%,35.9%,46.7%,45.8%,37.2%,57.1%,42.9%,26.5%,32.4%,28.0%,23.1%,47.6%,66.7%,-37
Last 52 Weeks (1 matches),,22.0%,28.0%,46.2%,24.0%,32.0%,36.8%,35.7%,54.5%,0.0%,20.0%,24.0%,55.0%,0.0%,37.5%,0.0%,-104
Career (34 matches),,23.9%,33.8%,45.9%,28.8%,40.7%,48.3%,48.4%,47.4%,46.4%,17.7%,25.0%,42.3%,28.5%,46.8%,51.4%,11
