Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2017 Charleston R32,L vs Safarova,3.5,3.6,3.4,35.7%,63.0%,64.3%,40.0%,46.6%,30.5%,-3.0,-4.0,1.0,1.5
2017 Miami R32,W vs Pavlyuchenkova,3.5,3.2,3.7,58.6%,45.8%,30.8%,70.0%,48.0%,22.4%,2.0,2.1,9.0,10.1
2016 Charleston R64,W vs Pereira,5.1,4.4,5.9,63.3%,45.5%,60.0%,44.8%,42.9%,9.8%,20.0,11.2,5.5,2.4
2016 Hobart R32,L vs Bouchard,3.1,2.9,3.3,33.3%,34.6%,44.4%,-,46.8%,16.0%,-0.5,-1.3,-4.5,-10.7
2015 Beijing QF,L vs Muguruza,3.4,3.7,3.0,41.0%,42.9%,37.5%,66.7%,53.8%,25.8%,-3.5,-5.1,-1.0,-2.2
2015 Beijing R16,W vs Vinci,4.3,4.1,4.5,52.4%,64.6%,42.9%,54.5%,45.7%,39.9%,3.5,2.9,4.0,4.4
2015 US Open R32,L vs Williams,2.9,3.1,2.6,47.9%,40.0%,33.3%,16.7%,47.2%,22.7%,0.0,0.0,1.0,2.0
2015 Florianopolis SF,L vs Beck,4.3,4.3,4.4,46.2%,47.9%,45.5%,50.0%,63.9%,19.2%,0.0,0.0,5.5,5.4
2015 Stuttgart R32,L vs Makarova,3.9,3.9,3.9,50.6%,43.9%,42.9%,36.4%,50.4%,23.7%,-4.0,-4.0,0.5,0.6
2015 Australian Open R32,L vs Halep,4.5,4.6,4.3,42.3%,60.0%,47.6%,23.1%,48.0%,27.7%,1.0,0.9,0.0,0.0
2014 Sydney R32,W vs Bouchard,3.7,3.9,3.6,53.5%,60.0%,66.7%,42.9%,53.1%,31.0%,7.0,7.5,0.5,0.9
2013 Wimbledon R128,L vs Kerber,4.1,4.5,3.6,40.5%,48.1%,45.0%,55.6%,46.7%,23.3%,-8.0,-8.8,-2.5,-2.7
2012 US Open R128,L vs Williams,2.3,2.6,1.9,36.0%,16.7%,100.0%,100.0%,50.0%,22.2%,-3.5,-10.6,-14.5,-51.8
2010 US Open R64,L vs Petkovic,3.8,4.1,3.4,48.7%,47.3%,50.0%,58.3%,55.3%,21.4%,6.5,4.5,9.5,9.3
Career (14 matches),,3.8,3.8,3.8,47.3%,48.5%,48.9%,46.8%,50.1%,23.2%,1.3,1.2,1.0,1.2
