Date,Tournament,Surface,Rd,,Score
26-Mar-1959,Launceston,,F,Long / L Wilmott [AUS] d. L Holloway / B Lambert [AUS],6-2 6-3
26-Dec-1958,Sydney Manly,Grass,F,Long / Mary Hawton [AUS] d. Mary Fenton / Karin Lemercier [AUS],6-3 6-3
04-Dec-1958,Melbourne,Grass,F,Long / Mary Hawton [AUS] d. Sandra Reynolds / Renee Schuurman [RSA],6-2 12-10
19-Nov-1958,Sydney,Grass,F,Long / Mary Hawton [AUS] d. Sandra Reynolds / Renee Schuurman [RSA],9-7 1-6 7-5
06-Oct-1958,Mexico City,Clay,F,Yola Ramirez [MEX] / Rosie Reyes [FRA] d. Long / Marta Hernandez [MEX],6-3 7-5
22-Sep-1958,Berkeley,Hard,F,Maria Bueno [BRA] / Darlene Hard [USA] d. Long / Christine Truman [GBR],6-2 6-2
15-Sep-1958,Los Angeles Pac Southwest,Hard,F,Darlene Hard [USA] / Maria Bueno [BRA] d. Long / Mary Hawton [AUS],6-2 6-1
08-Sep-1958,Toronto,Clay,F,Long / Mary Hawton [AUS] d. Maria Bueno [BRA] / Marta Hernandez [MEX],6-4 6-4
03-Aug-1958,Hamburg,Clay,F,(1) Long / Mary Hawton [AUS] d. Edda Buding / Ilse Buding [FRG],6-1 6-4
21-Jul-1958,Gstaad,Clay,F,Yola Ramirez [MEX] / Rosie Reyes [FRA] d. Long / Mary Hawton [AUS],9-7 6-4
07-Jul-1958,Antwerp,Clay,F,Long / Lorraine Coghlan [AUS] d. Yola Ramirez [MEX] / Rosie Reyes [FRA],3-6 6-3 8-6
09-Jun-1958,Bristol,Grass,F,Yola Ramirez [MEX] / Rosie Reyes [FRA] d. Long / Lorraine Coghlan [AUS],8-6 8-6
20-May-1958,Roland Garros,Clay,F,(2) Yola Ramirez [MEX] / Rosie Reyes [FRA] d. (1) Long / Mary Hawton [AUS],6-4 7-5
12-May-1958,Barcelona,Clay,F,Long / Mary Hawton [AUS] d. Lorraine Coghlan [AUS] / Mary Teran De Weiss [ARG],6-2 6-4
06-May-1958,Rome,Clay,F,Shirley Bloomer / Christine Truman [GBR] d. Long / Mary Hawton [AUS],6-3 6-2
21-Mar-1958,Brisbane Hard,Clay,F,Long / Mary Hawton [AUS] d. Lorraine Coghlan / Fay Muller [AUS],7-5 7-5
13-Mar-1958,Newcastle Aus,Clay,F,Long / Margaret Hellyer [AUS] d. Lorraine Coghlan / Beth Jones [AUS],6-0 6-0
16-Jan-1958,Australian Championships,Grass,F,(1) Long / Mary Hawton [AUS] d. (2) Lorraine Coghlan [AUS] / Angela Mortimer [GBR],7-5 6-8 6-2
26-Dec-1957,Sydney Manly,Grass,F,Long / Mary Hawton [AUS] d. Norma Marsh / Pat Parmenter [AUS],6-1 6-2
24-Jun-1957,Wimbledon,Grass,F,Althea Gibson / Darlene Hard [USA] d. Long / Mary Hawton [AUS],6-1 6-2
