Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1958,,,12,1855,8,1700,12,1786,16,1739,,,,
1957,,,7,1914,,,5,1843,8,1781,,,,
1956,,,8,1913,,,8,1835,10,1784,,,,
1954,,,17,1774,,,,,13,1683,,,,
1953,,,7,1912,7,1701,7,1845,8,1811,,,,
1952,,,10,1842,8,1629,7,1782,9,1753,,,,
1951,,,18,1815,,,12,1792,16,1724,,,,
1950,,,14,1873,,,10,1800,11,1799,,,,
1949,,,13,1852,,,12,1752,9,1801,,,,
1947,,,20,1786,,,21,1660,15,1748,,,,
1946,,,18,1762,,,21,1627,12,1733,,,,
1940,,,10,1853,,,9,1689,10,1793,,,,
1939,,,21,1844,,,27,1677,21,1764,,,,
1938,,,25,1828,12,1625,36,1648,25,1746,,,,
1937,,,21,1835,,,,,18,1781,,,,
1936,,,20,1868,,,,,14,1822,,,,
1935,,,39,1754,,,54,1573,31,1716,,,,
