Date,Tournament,Surface,Rd,,Score
26-Dec-1958,Sydney Manly,Grass,F,Long / Giuseppe Merlo [ITA] d. Mary Hawton / Jack May [AUS],7-5 10-12 ?-?
19-Nov-1958,Sydney,Grass,F,Sandra Reynolds [RSA] / Bob Mark [AUS] d. Long / Orlando Sirola [ITA],6-4 7-5
06-Oct-1958,Mexico City,Clay,F,Long / Luis Ayala [CHI] d. Yola Ramirez [MEX] / Alejandro Olmedo [PER],6-3 6-4
03-Aug-1958,Hamburg,Clay,F,Yola Ramirez [MEX] / Antal Jancso [HUN] d. Long / Luis Ayala [CHI],8-6 6-4
09-Jun-1958,Bristol,Grass,F,Long / Luis Ayala [CHI] d. Yola Ramirez [MEX] / Tony Pickard [GBR],6-1 6-1
12-May-1958,Barcelona,Clay,F,Long / Mervyn Rose [AUS] d. Lorraine Coghlan / Warren Woodcock [AUS],6-3 6-4
06-May-1958,Rome,Clay,F,Shirley Bloomer [GBR] / Giorgio Facchini [ITA] d. Long / Luis Ayala [CHI],4-6 6-2 9-7
26-Dec-1957,Sydney Manly,Grass,F,Mary Hawton / Jack May [AUS] d. Long / Mike Green [USA],6-3 6-4
25-Jul-1957,Cologne,Clay,F,Long / Luis Ayala [CHI] d. Valerie Forbes / Gordon Forbes [RSA],7-5 7-5
06-May-1957,Rome,Clay,F,Long / Luis Ayala [CHI] d. Shirley Bloomer [GBR] / Bob Howe [AUS],6-1 6-1
01-May-1957,Florence,Clay,F,Long / Luis Ayala [CHI] d. Yola Ramirez / Mario Llamas [MEX],6-1 5-7 6-4
22-Apr-1957,Naples,Clay,F,Long / Luis Ayala [CHI] d. Julie Sampson Hayward / Hugh Stewart [USA],6-2 6-1
08-Apr-1957,Palermo,Clay,F,Long / Luis Ayala [CHI] d. Edda Buding [FRG] / Esteban Reyes [MEX],7-5 3-6 6-2
14-Feb-1957,Lyon,Carpet,F,Long / Francois Garnero [FRA] d. Zsuzsa Kormoczy / Istvan Gulyas [HUN],6-4 6-4
01-Feb-1957,Paris Indoors,Carpet,F,Long / Giorgio Fachini [ITA] d. Beatrice De Chambure / Xavier Perreau Saussine [FRA],7-5 7-5
