Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
1989 Australian Open F,L vs Lendl,5.5%,6.8%,37.5%,7.8%,9.4%,12.5%,44.8%,14.7%,40.0%,90.9%,88.9%,8.3%,8.3%,18.2%,-57
1988 Olympics F,W vs Mayotte,11.3%,14.2%,53.1%,15.8%,16.9%,18.5%,55.6%,24.2%,32.4%,87.1%,66.7%,9.1%,27.3%,40.0%,-79
1988 Wimbledon SF,L vs Edberg,23.4%,42.3%,52.9%,36.4%,25.0%,46.6%,56.1%,45.3%,25.0%,60.4%,66.7%,21.7%,37.0%,47.2%,-16
1987 US Open QF,L vs Wilander,9.4%,22.8%,49.3%,21.1%,9.8%,25.0%,50.5%,25.4%,35.8%,59.3%,50.0%,8.3%,16.7%,45.5%,-38
1987 Roland Garros SF,L vs Lendl,7.3%,14.5%,43.9%,13.8%,9.3%,17.3%,38.2%,18.9%,60.5%,75.7%,66.7%,3.2%,9.7%,56.7%,-86
1987 Miami F,W vs Lendl,23.0%,31.0%,56.2%,27.9%,27.9%,35.3%,55.1%,35.1%,37.0%,80.5%,100.0%,14.3%,25.0%,58.3%,-27
1986 US Open F,L vs Lendl,15.3%,20.4%,40.7%,19.2%,18.3%,25.0%,40.8%,24.7%,51.7%,74.2%,77.8%,11.1%,13.9%,40.6%,-2
1986 US Open SF,W vs Becker,18.8%,30.6%,54.6%,24.9%,22.0%,35.0%,58.3%,29.9%,59.3%,65.6%,100.0%,8.1%,16.2%,44.1%,-79
1985 Rome F,L vs Noah,8.6%,23.0%,50.4%,16.0%,8.6%,20.0%,50.0%,18.3%,28.2%,60.6%,61.5%,10.0%,36.7%,51.9%,-18
Career (9 matches),,14.0%,24.3%,49.6%,21.2%,16.5%,27.6%,50.7%,27.2%,41.9%,69.4%,71.8%,11.2%,22.1%,46.8%,-2
