Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
1989 Australian Open F,L vs Lendl,0.0%,-,4.2%,33.3%,5.7%,3.3%,0.0%,4.4%,21.7%,0.7%,50.0%,-88,-99
1988 Olympics F,W vs Mayotte,0.9%,100.0%,5.5%,54.5%,10.6%,17.4%,0.0%,12.0%,36.8%,0.0%,-,-43,-90
1988 Wimbledon SF,L vs Edberg,68.1%,60.9%,34.4%,62.3%,27.0%,27.8%,0.0%,26.5%,36.4%,0.4%,100.0%,135,78
1987 US Open QF,L vs Wilander,27.5%,61.0%,45.0%,64.6%,10.7%,12.6%,33.3%,3.4%,6.7%,0.6%,0.0%,-41,-62
1987 Roland Garros SF,L vs Lendl,0.0%,-,24.3%,63.3%,4.4%,6.2%,0.0%,3.7%,8.9%,0.7%,33.3%,-89,-96
1987 Miami F,W vs Lendl,2.1%,50.0%,19.2%,68.4%,10.7%,18.6%,0.0%,6.3%,16.3%,0.4%,50.0%,-87,-77
1986 US Open F,L vs Lendl,4.1%,25.0%,23.9%,50.0%,5.0%,8.9%,0.0%,4.5%,9.4%,1.2%,25.0%,-5,-23
1986 US Open SF,W vs Becker,4.4%,85.7%,17.3%,71.4%,16.2%,20.4%,0.0%,11.5%,15.2%,0.2%,0.0%,81,42
1985 Rome F,L vs Noah,4.3%,33.3%,28.6%,53.4%,11.7%,17.8%,0.0%,12.9%,25.0%,1.1%,0.0%,-11,-38
Career (9 matches),,14.4%,60.1%,24.3%,61.7%,9.6%,12.8%,12.5%,7.0%,15.5%,0.6%,24.0%,-24,-42
