Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2023 Dubai R32,L vs Davidovich Fokina,3.1,3.6,2.6,33.3%,25.0%,0.0%,33.3%,40.9%,67.3%,-3.0,-8.8,-3.0,-18.8
2023 Dubai R32,L vs Davidovich Fokina,3.1,3.6,2.6,33.3%,25.0%,0.0%,33.3%,40.9%,67.3%,-3.0,-8.8,-3.0,-18.8
2022 Buenos Aires CH R32,W vs Burruchaga,4.0,4.0,4.1,46.8%,52.1%,52.6%,36.4%,48.2%,56.3%,13.0,10.4,-2.0,-3.2
2019 Marrakech R32,L vs Haase,3.5,3.3,3.6,45.7%,38.9%,66.7%,22.2%,39.4%,36.1%,3.0,5.8,-1.0,-1.9
2018 Beijing R16,W vs Zverev,4.8,5.2,4.2,51.9%,44.9%,50.0%,36.4%,46.3%,71.3%,-1.0,-0.6,0.5,0.8
2018 s Hertogenbosch R16,L vs Tsitsipas,3.3,3.5,3.1,51.2%,38.8%,33.3%,50.0%,47.6%,50.8%,3.0,3.1,-0.5,-0.9
2018 Istanbul F,L vs Daniel,6.5,5.3,7.8,47.5%,46.7%,50.0%,44.7%,44.4%,50.0%,3.0,1.4,2.5,1.9
2018 Dubai R32,W vs Dimitrov,2.9,3.6,2.3,48.7%,61.9%,68.8%,40.0%,59.4%,37.5%,28.5,22.8,9.5,17.3
2017 Izmir CH R32,L vs Maamoun,4.8,4.0,5.5,43.1%,58.6%,42.9%,47.4%,39.4%,60.2%,-7.0,-6.5,-4.0,-6.0
2017 Istanbul CH SF,W vs Maamoun,5.5,5.4,5.6,60.3%,57.6%,66.7%,37.9%,43.8%,50.8%,16.0,10.7,-8.0,-8.2
2017 Montpellier R16,L vs Gasquet,4.2,4.0,4.3,36.2%,58.6%,50.0%,38.5%,42.0%,33.3%,-1.0,-1.2,0.5,0.6
2016 Stockholm R32,L vs Sock,4.0,4.4,3.6,51.3%,42.9%,55.0%,40.0%,50.8%,30.4%,23.5,16.8,4.0,3.7
2016 Shenzhen QF,L vs Tipsarevic,4.7,5.2,4.1,38.6%,56.5%,58.3%,45.5%,41.4%,45.0%,7.0,6.1,-1.0,-1.1
2016 Metz QF,L vs Simon,6.7,6.8,6.6,41.8%,48.3%,28.6%,45.7%,46.3%,56.5%,-1.0,-0.6,4.0,4.3
2016 Istanbul CH F,W vs Sela,3.8,3.1,4.4,54.9%,56.5%,66.7%,64.3%,46.0%,40.7%,9.0,10.0,6.0,9.4
2016 Barcelona QF,L vs Paire,3.5,3.7,3.2,46.8%,40.9%,63.6%,81.8%,55.7%,50.9%,10.5,8.5,7.5,14.4
2015 Champaign CH QF,L vs Fritz,4.1,4.8,3.5,34.9%,50.0%,37.5%,23.1%,42.5%,57.7%,-7.0,-9.6,-6.5,-14.8
2015 Winston Salem QF,W vs Bellucci,4.1,4.7,3.5,64.1%,43.8%,72.7%,28.6%,51.0%,51.5%,3.5,3.5,2.5,5.2
2015 Bogota QF,L vs Mannarino,4.4,4.0,4.9,49.3%,48.8%,26.7%,69.2%,47.8%,82.4%,-9.0,-7.3,0.0,0.0
2015 Australian Open R32,L vs Kyrgios,3.6,4.2,3.0,37.3%,54.5%,52.9%,58.3%,52.3%,75.8%,9.5,7.1,-2.0,-6.9
Last 52 Weeks (2 matches),,3.1,3.6,2.6,33.3%,25.0%,0.0%,33.3%,40.9%,67.3%,-3.0,-8.8,-3.0,-18.8
Career (21 matches),,4.2,4.3,4.0,46.2%,47.6%,51.1%,44.0%,46.7%,53.8%,4.5,4.0,0.4,0.6
