Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,8,Hard,13,5,8,38.5%,7,2,5,28.6%,2010,2019,R32,13,0.94,5.1%,4.5%,53.4%,69.8%,48.3%,59.8%,37.8%,65.9%,36.7%
Roland Garros,8,Clay,13,5,8,38.5%,4,1,3,25.0%,2012,2019,R64,13,0.84,2.3%,3.1%,54.3%,65.6%,48.4%,57.7%,35.7%,62.6%,35.9%
Wimbledon,8,Grass,14,5,9,35.7%,8,1,7,12.5%,2012,2019,R64,8,0.77,6.0%,4.9%,55.8%,74.4%,45.7%,61.7%,29.5%,59.3%,44.7%
US Open,9,Hard,17,8,9,47.1%,4,2,2,50.0%,2011,2019,R64,17,0.94,6.9%,5.4%,52.1%,72.7%,46.5%,60.1%,37.5%,55.3%,36.7%
Olympics,2,,3,1,2,33.3%,2,1,1,50.0%,2012,2016,R32,3,0.73,7.9%,3.2%,53.2%,73.2%,51.1%,62.9%,27.1%,61.1%,33.3%
Davis Cup,10,,23,16,7,69.6%,6,2,4,33.3%,2003,2021,,8,1.28,8.2%,4.2%,56.3%,78.0%,56.0%,68.4%,40.6%,70.0%,45.9%
Dubai,11,Hard,19,8,11,42.1%,4,4,0,100.0%,2012,2023,SF,19,0.83,5.6%,4.0%,53.7%,69.0%,50.6%,60.5%,32.6%,60.2%,42.5%
Marrakech,4,Clay,7,3,4,42.9%,1,0,1,0.0%,2017,2022,QF,7,0.87,3.7%,3.0%,54.1%,69.1%,47.4%,59.1%,35.4%,64.9%,43.2%
Doha,10,Hard,11,1,10,9.1%,6,1,5,16.7%,2010,2022,R16,11,0.76,4.4%,4.5%,57.6%,67.4%,44.4%,57.6%,32.1%,55.3%,33.3%
Pune,2,Hard,3,1,2,33.3%,5,2,3,40.0%,2018,2020,QF,3,0.85,7.4%,2.7%,53.7%,71.4%,49.0%,61.1%,33.1%,66.7%,33.3%
Canada Masters,3,Hard,6,2,4,33.3%,2,1,1,50.0%,2014,2019,R32,6,0.86,3.5%,5.0%,50.3%,65.9%,45.4%,55.7%,38.1%,56.6%,48.6%
Washington,7,Hard,14,7,7,50.0%,7,5,2,71.4%,2013,2019,R16,14,0.87,4.9%,4.0%,52.1%,72.2%,52.3%,62.7%,32.5%,68.4%,27.8%
