Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2011,4,2,2,50.0%,4-5,44.4%,34-47,42.0%,0-0,-,4,-,-,3.5%,3.8%,58.5%,59.2%,45.4%,53.5%,38.8%,46.3%,0.83,R16 (Hobart)
2010,22,9,13,40.9%,22-31,41.5%,224-258,46.5%,1-4,20.0%,18,-,-,5.5%,5.0%,61.4%,61.8%,44.9%,55.3%,41.0%,48.3%,0.92,R16 (3x)
2008,8,1,7,12.5%,2-12,14.3%,52-85,38.0%,1-2,33.3%,6,-,-,7.7%,4.6%,56.8%,65.1%,44.1%,56.0%,35.8%,46.3%,0.81,
2007,43,18,25,41.9%,41-55,42.7%,424-461,47.9%,4-5,44.4%,30,-,-,8.5%,3.7%,63.6%,66.6%,46.0%,59.1%,37.5%,48.6%,0.92,QF (3x)
2006,21,7,14,33.3%,17-31,35.4%,207-258,44.5%,3-6,33.3%,9,-,-,7.9%,4.0%,62.1%,58.5%,43.6%,52.9%,36.6%,45.0%,0.78,QF (Guangzhou)
2005,31,17,14,54.8%,38-31,55.1%,350-324,51.9%,7-4,63.6%,8,-,-,10.5%,4.0%,58.6%,71.9%,49.3%,62.6%,38.7%,50.9%,1.03,W (Sydney)
2004,62,42,20,67.7%,94-49,65.7%,752-605,55.4%,8-6,57.1%,7,-,-,8.5%,3.0%,58.4%,68.6%,53.8%,62.5%,44.7%,53.0%,1.19,W (3x)
2003,45,27,18,60.0%,60-42,58.8%,517-443,53.9%,6-4,60.0%,7,-,-,7.8%,4.8%,53.6%,73.9%,48.1%,61.9%,38.0%,50.7%,1.00,W (Hobart)
2002,33,12,21,36.4%,31-44,41.3%,332-375,47.0%,3-3,50.0%,0,,,,,,,,,,,,SF (Doha)
2001,38,17,21,44.7%,42-44,48.8%,410-424,49.2%,8-6,57.1%,0,,,,,,,,,,,,SF (Shanghai)
2000,17,6,11,35.3%,17-25,40.5%,176-208,45.8%,1-2,33.3%,0,,,,,,,,,,,,R16 (Budapest)
1999,22,9,13,40.9%,22-31,41.5%,220-251,46.7%,0-0,-,0,,,,,,,,,,,,R16 (2x)
1998,29,27,2,93.1%,51-6,89.5%,327-145,69.3%,2-0,100.0%,0,,,,,,,,,,,,W (5x)
1997,5,2,3,40.0%,5-5,50.0%,46-43,51.7%,0-1,0.0%,0,,,,,,,,,,,,R16 (2x)
1996,1,0,1,0.0%,0-2,0.0%,2-12,14.3%,0-0,-,0,,,,,,,,,,,,R32 (Victoria 1 10K)
Career,381,196,185,51.4%,446-413,51.9%,4073-3939,50.8%,44-43,50.6%,89,-,-,7.7%,4.2%,60.6%,65.6%,46.5%,58.1%,38.8%,48.7%,0.93,
