Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,12,Hard,26,14,12,53.8%,5,3,2,60.0%,1998,2011,QF,17,1.13,9.4%,4.1%,59.1%,72.1%,47.8%,62.1%,42.7%,57.1%,48.1%
Roland Garros,10,Clay,14,4,10,28.6%,2,2,0,100.0%,1999,2010,R32,7,0.79,6.8%,3.6%,60.9%,61.2%,40.6%,53.2%,36.8%,54.2%,40.9%
Wimbledon,10,Grass,19,9,10,47.4%,3,1,2,33.3%,1999,2010,R32,9,1.02,10.3%,4.7%,57.5%,73.5%,48.2%,62.7%,38.1%,65.3%,40.7%
US Open,10,Hard,20,9,11,45.0%,2,1,1,50.0%,1999,2010,R32,8,0.93,6.4%,4.5%,55.4%,64.7%,53.0%,59.5%,37.5%,66.1%,32.7%
Olympics,3,,7,4,3,57.1%,2,0,2,0.0%,2000,2008,SF,0,,,,,,,,,,
Fed Cup,9,,27,12,15,44.4%,4,2,2,50.0%,1999,2010,,0,,,,,,,,,,
Birmingham,9,Grass,18,9,9,50.0%,7,3,4,42.9%,1999,2010,QF,4,0.79,9.1%,4.0%,66.7%,73.4%,40.2%,62.3%,29.8%,54.5%,36.4%
Miami,8,Hard,19,11,8,57.9%,6,3,3,50.0%,2000,2010,R16,3,0.84,4.2%,2.5%,57.5%,47.8%,41.2%,45.0%,46.0%,27.8%,56.3%
New Haven,7,Hard,11,4,7,36.4%,6,2,4,33.3%,1999,2010,R32,1,0.69,11.8%,5.9%,50.0%,64.7%,47.1%,55.9%,30.5%,66.7%,100.0%
Eastbourne,6,Grass,15,9,6,60.0%,4,1,3,25.0%,2001,2010,R16,2,0.92,8.2%,5.9%,67.1%,65.8%,35.7%,55.9%,40.5%,60.0%,43.8%
Indian Wells,6,Hard,15,9,6,60.0%,3,1,2,33.3%,1999,2010,R16,6,1.10,6.3%,3.6%,64.8%,65.4%,50.3%,60.1%,43.9%,54.2%,49.1%
Dubai,6,Hard,14,8,6,57.1%,3,1,2,33.3%,2001,2010,R16,6,1.04,6.6%,4.0%,61.4%,68.4%,46.6%,60.0%,41.8%,67.2%,29.9%
