Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2025 Seoul QF,L vs Swiatek,9.8%,17.1%,28.6%,14.3%,23.8%,27.8%,75.0%,23.1%,0.0%,5.6%,11.1%,29.4%,54.5%,0.0%,0.0%,-61
2025 US Open QF,L vs Pegula,14.5%,27.4%,41.3%,26.9%,38.5%,52.6%,10.0%,43.8%,0.0%,6.9%,24.1%,33.3%,14.3%,6.7%,0.0%,-55
2025 US Open R16,W vs Townsend,14.6%,29.3%,48.5%,15.2%,32.9%,56.7%,59.5%,42.9%,50.0%,15.8%,26.3%,31.3%,13.3%,4.3%,0.0%,38
2025 US Open R128,W vs Mboko,33.3%,43.8%,69.0%,39.3%,50.0%,70.6%,38.5%,26.7%,100.0%,29.4%,41.2%,66.7%,0.0%,0.0%,0.0%,77
2025 Montreal R128,L vs Andreescu,29.4%,37.3%,53.3%,35.5%,45.2%,60.0%,62.5%,53.3%,0.0%,28.6%,35.7%,40.0%,0.0%,11.1%,100.0%,111
2025 Wimbledon R128,W vs Eala,26.9%,43.0%,48.4%,28.6%,44.4%,46.7%,46.4%,40.0%,50.0%,29.2%,50.0%,52.9%,22.2%,16.7%,-,137
2025 Strasbourg R32,L vs Linette,21.8%,32.7%,42.5%,36.4%,48.5%,47.6%,27.8%,66.7%,100.0%,0.0%,10.5%,36.8%,0.0%,27.3%,0.0%,-119
2024 Riyadh Finals SF,L vs Zheng,28.1%,31.3%,40.5%,32.5%,37.5%,44.4%,50.0%,54.5%,100.0%,25.0%,25.0%,33.3%,45.5%,77.8%,50.0%,97
2024 Riyadh Finals RR,W vs Gauff,24.7%,30.9%,52.5%,28.0%,36.0%,50.0%,72.0%,32.0%,50.0%,19.4%,22.6%,56.0%,58.3%,5.3%,0.0%,-104
2024 Riyadh Finals RR,W vs Pegula,37.9%,51.5%,47.2%,47.7%,61.4%,52.2%,40.9%,31.8%,0.0%,23.5%,41.2%,38.5%,42.9%,60.0%,0.0%,90
2024 Riyadh Finals RR,L vs Swiatek,24.0%,33.3%,44.8%,30.4%,42.9%,46.2%,55.6%,44.8%,16.7%,17.6%,23.5%,42.9%,0.0%,55.6%,60.0%,54
2024 Wimbledon F,W vs Paolini,32.9%,44.7%,57.4%,39.3%,51.8%,55.9%,35.7%,35.7%,50.0%,23.5%,35.3%,61.5%,0.0%,90.0%,100.0%,100
2024 Wimbledon SF,W vs Rybakina,26.5%,34.3%,47.8%,32.9%,42.5%,51.0%,37.1%,63.2%,57.1%,13.0%,17.4%,40.0%,15.4%,10.0%,0.0%,0
2024 Wimbledon QF,W vs Ostapenko,39.1%,48.4%,58.3%,48.9%,61.7%,62.5%,15.8%,32.1%,66.7%,14.3%,14.3%,50.0%,0.0%,33.3%,-,17
2024 Wimbledon R16,W vs Collins,35.0%,51.7%,61.8%,45.0%,57.5%,63.6%,46.7%,24.0%,33.3%,20.0%,53.3%,58.3%,22.2%,16.7%,-,54
2024 Wimbledon R64,W vs Volynets,20.7%,29.9%,46.8%,25.0%,36.7%,51.1%,30.4%,67.6%,80.0%,15.0%,20.0%,35.3%,0.0%,75.0%,100.0%,9
2024 Wimbledon R128,W vs Kudermetova,22.8%,30.7%,50.5%,36.2%,44.9%,47.7%,50.0%,54.3%,75.0%,7.8%,15.7%,53.2%,14.3%,63.3%,80.0%,-39
2024 Birmingham QF,L vs Potapova,41.2%,45.1%,32.1%,45.7%,51.4%,31.6%,80.0%,70.0%,60.0%,35.7%,35.7%,33.3%,57.1%,28.6%,0.0%,47
2024 Stuttgart R32,L vs Kudermetova,18.9%,26.3%,54.2%,23.2%,33.9%,62.8%,41.7%,37.5%,0.0%,14.7%,17.6%,41.4%,0.0%,52.6%,66.7%,29
2024 Australian Open QF,L vs Sabalenka,28.6%,32.7%,18.8%,44.8%,48.3%,18.8%,72.7%,83.3%,100.0%,5.9%,11.8%,18.8%,10.0%,0.0%,0.0%,-61
Last 52 Weeks (7 matches),,20.9%,33.4%,46.9%,26.3%,40.2%,52.2%,47.7%,42.4%,36.8%,15.7%,28.3%,38.8%,17.5%,8.9%,5.6%,31
Career (74 matches),,25.0%,35.6%,48.6%,30.5%,43.5%,51.5%,46.4%,52.5%,54.0%,18.6%,26.7%,43.8%,19.4%,42.6%,43.2%,63
