Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,166,102,64,61.4%,221-154,58.9%,1901-1602,54.3%,21-15,58.3%,157,72.8%,35.4%,5.4%,6.1%,60.2%,68.3%,46.6%,59.7%,43.8%,51.7%,1.09
Clay,66,38,28,57.6%,82-71,53.6%,727-670,52.0%,7-7,50.0%,64,65.6%,39.6%,3.2%,5.7%,61.9%,64.5%,43.5%,56.5%,45.2%,50.8%,1.04
Grass,33,23,10,69.7%,49-25,66.2%,396-332,54.4%,8-3,72.7%,32,77.2%,30.7%,5.2%,5.8%,63.4%,70.3%,50.3%,63.0%,41.6%,52.0%,1.12
Grand Slams,70,49,21,70.0%,103-60,63.2%,837-701,54.4%,12-5,70.6%,70,71.0%,37.6%,4.7%,5.8%,61.8%,67.2%,46.2%,59.2%,44.8%,51.9%,1.10
Premiers,73,44,29,60.3%,93-71,56.7%,831-721,53.5%,11-8,57.9%,72,73.5%,32.0%,5.1%,5.6%,60.3%,68.5%,47.4%,60.1%,42.4%,51.2%,1.06
Internationals,68,40,28,58.8%,88-65,57.5%,759-661,53.5%,8-7,53.3%,63,70.5%,37.3%,4.4%,6.0%,61.1%,67.0%,45.3%,58.5%,44.7%,51.5%,1.08
Finals,13,8,5,61.5%,18-14,56.3%,157-141,52.7%,1-3,25.0%,13,71.1%,34.5%,5.6%,5.2%,62.9%,66.6%,49.9%,60.4%,43.7%,51.8%,1.10
Semi-finals,16,14,2,87.5%,29-13,69.0%,232-174,57.1%,3-1,75.0%,16,79.5%,34.7%,4.5%,5.8%,62.4%,71.4%,49.2%,63.1%,43.0%,52.8%,1.17
Quarter-finals,30,14,16,46.7%,29-31,48.3%,275-284,49.2%,6-2,75.0%,28,66.4%,31.6%,5.3%,5.4%,58.5%,64.6%,49.6%,58.4%,42.3%,50.3%,1.02
vs Righties,237,143,94,60.3%,308-230,57.2%,2703-2348,53.5%,32-24,57.1%,227,71.7%,35.6%,4.9%,6.1%,60.8%,67.7%,46.4%,59.3%,43.8%,51.4%,1.08
vs Lefties,19,14,5,73.7%,31-14,68.9%,230-183,55.7%,3-1,75.0%,18,72.2%,37.8%,4.0%,5.7%,62.3%,68.0%,45.2%,59.4%,44.3%,52.1%,1.09
vs Top 10,40,15,25,37.5%,40-56,41.7%,420-472,47.1%,5-3,62.5%,39,65.8%,28.0%,5.6%,5.8%,61.7%,64.9%,43.5%,56.7%,40.7%,48.7%,0.94
