Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2024 Beijing R128,W vs Wang,0.0%,-,5.7%,83.3%,20.7%,29.2%,23.1%,17.0%,20.0%,1.0%,50.0%,74,61
2023 Rabat R32,W vs Nahimana,0.0%,-,14.0%,50.0%,13.9%,18.5%,22.2%,0.0%,0.0%,3.0%,80.0%,4,31
2022 Wimbledon R128,L vs Swiatek,0.0%,-,2.8%,100.0%,8.7%,15.4%,0.0%,8.6%,50.0%,3.9%,0.0%,67,97
2018 Auckland R32,L vs Kenin,0.0%,-,7.2%,50.0%,14.5%,19.0%,0.0%,5.6%,18.2%,2.4%,0.0%,-3,25
2017 Tokyo QF,W vs Wang,0.0%,-,3.6%,66.7%,19.6%,41.9%,100.0%,6.8%,22.7%,1.4%,40.0%,24,17
2016 ITF Tokyo R16,W vs Abduraimova,0.0%,-,3.4%,50.0%,14.8%,32.0%,100.0%,5.1%,16.7%,1.2%,66.7%,-5,23
Career (6 matches),,0.0%,-,5.8%,61.0%,16.1%,27.7%,34.6%,7.1%,21.5%,1.9%,36.0%,23,37
