Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,6,Hard,12,6,6,50.0%,4,2,2,50.0%,2016,2025,R64,10,1.02,1.9%,9.4%,61.1%,61.0%,39.5%,52.6%,48.3%,55.7%,43.9%
Roland Garros,7,Clay,14,6,8,42.9%,4,2,2,50.0%,2017,2025,R64,11,0.99,1.2%,8.8%,61.0%,59.2%,42.7%,52.7%,47.0%,50.4%,55.1%
Wimbledon,6,Grass,14,8,6,57.1%,3,1,2,33.3%,2017,2025,R128,11,1.02,4.8%,10.4%,56.6%,63.9%,42.1%,54.4%,46.5%,51.1%,47.1%
US Open,5,Hard,11,6,5,54.5%,1,0,1,0.0%,2017,2025,Q3,8,0.96,2.1%,10.8%,55.8%,64.4%,39.9%,53.6%,44.7%,50.0%,51.4%
Fed Cup,2,,6,0,6,0.0%,2,0,2,0.0%,2019,2020,,6,0.91,2.0%,11.4%,60.2%,56.0%,37.4%,48.6%,47.0%,49.3%,46.9%
Stuttgart,3,Clay,6,3,3,50.0%,6,4,2,66.7%,2021,2025,R16,6,0.95,2.8%,11.1%,57.9%,65.5%,36.6%,53.4%,44.2%,54.5%,45.3%
Guangzhou,2,Hard,3,1,2,33.3%,0,0,0,-,2017,2024,R32,3,0.97,3.9%,12.6%,50.2%,64.4%,44.7%,54.6%,44.3%,62.5%,50.0%
Prague,2,Clay,3,1,2,33.3%,0,0,0,-,2020,2024,R16,3,0.94,1.6%,7.0%,60.8%,49.6%,38.4%,45.2%,51.3%,48.5%,45.5%
Birmingham,3,Grass,7,4,3,57.1%,1,0,1,0.0%,2017,2024,R32,7,1.13,8.7%,8.9%,53.9%,74.0%,47.3%,61.7%,43.3%,52.5%,48.2%
Budapest,2,Clay,4,2,2,50.0%,1,0,1,0.0%,2017,2023,Q2,4,0.95,3.0%,10.6%,54.3%,61.1%,38.8%,50.9%,46.7%,57.5%,51.6%
Rabat,2,Clay,7,5,2,71.4%,2,1,1,50.0%,2018,2023,QF,7,1.13,2.5%,8.6%,58.8%,64.4%,46.0%,56.8%,48.6%,65.4%,45.0%
