Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,104,46,58,44.2%,108-124,46.6%,1063-1126,48.6%,14-15,48.3%,103,63.5%,34.0%,3.2%,3.6%,59.5%,61.8%,46.8%,55.7%,43.2%,49.5%,0.98
Clay,47,22,25,46.8%,51-58,46.8%,487-506,49.0%,2-3,40.0%,47,60.1%,38.2%,2.1%,3.2%,63.2%,59.9%,43.3%,53.8%,45.1%,49.5%,0.98
Grass,16,6,10,37.5%,11-23,32.4%,135-183,42.5%,1-2,33.3%,16,64.9%,22.1%,3.8%,4.1%,58.1%,64.4%,46.7%,57.0%,38.3%,47.4%,0.89
Grand Slams,22,6,16,27.3%,17-32,34.7%,206-258,44.4%,2-2,50.0%,22,60.5%,28.6%,2.9%,3.6%,59.6%,60.6%,45.1%,54.4%,39.8%,47.4%,0.87
Premiers,18,6,12,33.3%,14-26,35.0%,185-216,46.1%,2-4,33.3%,18,63.6%,29.5%,3.0%,3.4%,58.4%,62.5%,45.5%,55.5%,41.4%,48.3%,0.93
Internationals,92,47,45,51.1%,103-102,50.2%,930-931,50.0%,9-9,50.0%,92,63.3%,37.3%,2.9%,3.3%,61.4%,61.8%,46.4%,55.9%,45.0%,50.4%,1.02
Finals,6,2,4,33.3%,5-9,35.7%,56-75,42.7%,0-1,0.0%,6,53.1%,33.3%,1.8%,3.0%,67.3%,57.8%,43.8%,53.3%,42.6%,47.7%,0.91
Semi-finals,8,5,3,62.5%,9-7,56.3%,77-69,52.7%,1-1,50.0%,7,68.8%,39.7%,2.5%,2.5%,68.6%,62.5%,48.0%,57.9%,45.5%,51.6%,1.08
Quarter-finals,14,7,7,50.0%,17-16,51.5%,160-151,51.4%,2-1,66.7%,14,65.1%,37.8%,2.4%,2.9%,62.7%,63.9%,42.7%,56.0%,45.1%,50.5%,1.02
vs Righties,146,63,83,43.2%,145-184,44.1%,1470-1618,47.6%,16-19,45.7%,145,61.4%,34.2%,2.9%,3.5%,60.4%,61.0%,45.5%,54.9%,43.5%,49.2%,0.96
vs Lefties,17,9,8,52.9%,19-17,52.8%,166-160,50.9%,1-1,50.0%,17,70.6%,31.7%,3.3%,3.4%,61.7%,63.2%,48.7%,57.7%,41.3%,49.7%,0.98
vs Top 10,11,0,11,0.0%,0-22,0.0%,61-135,31.1%,0-3,0.0%,11,47.4%,16.3%,2.3%,6.0%,57.6%,58.8%,34.9%,48.6%,34.7%,41.6%,0.67
