Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2025 US Open R128,L vs Valentova,3.6,3.8,3.4,49.5%,40.0%,55.0%,25.0%,56.6%,8.1%,3.0,2.2,-7.0,-7.1
2025 Wimbledon R64,L vs Andreeva,5.6,6.0,5.1,43.9%,34.6%,52.4%,34.8%,53.7%,14.7%,2.5,1.6,-5.5,-4.6
2025 Cluj Napoca F,L vs Potapova,5.4,5.4,5.3,39.2%,50.0%,46.4%,56.0%,54.9%,6.4%,14.0,7.0,1.0,0.6
2025 Cluj Napoca R32,W vs Halep,5.4,5.5,5.2,65.7%,72.2%,69.2%,64.3%,66.7%,4.8%,12.0,9.7,7.5,13.6
2024 Auckland R32,L vs Keys,4.4,5.1,3.5,43.5%,46.7%,60.0%,23.1%,57.8%,3.2%,-6.5,-5.2,-1.0,-1.1
2024 BJK Cup Finals RR,W vs Hruncakova,3.7,3.6,3.8,55.7%,51.6%,71.4%,57.1%,66.5%,14.8%,6.0,5.8,5.5,12.0
2024 Osaka R16,L vs Lamens,4.7,5.6,3.9,46.0%,37.9%,50.0%,35.7%,61.3%,8.9%,-1.5,-1.2,5.5,7.9
2024 US Open R64,L vs Sabalenka,3.1,3.7,2.4,43.5%,20.0%,25.0%,50.0%,52.7%,14.0%,3.0,6.7,1.5,4.1
2024 Wimbledon R128,L vs Fernandez,3.6,3.8,3.4,46.1%,28.6%,57.1%,80.0%,58.3%,11.0%,7.5,7.5,-2.0,-3.1
2024 Rome R128,L vs Kenin,4.5,4.4,4.5,47.4%,31.0%,53.8%,36.8%,57.9%,10.0%,-1.5,-1.1,-2.0,-2.1
2024 Linz R32,W vs Kerber,4.6,4.2,4.9,62.2%,50.0%,73.7%,66.7%,51.0%,13.5%,12.0,12.5,7.0,8.5
2024 Brisbane R32,L vs Sabalenka,3.4,3.5,3.3,40.8%,29.4%,0.0%,16.7%,50.5%,10.6%,1.5,3.2,-2.0,-5.1
2023 Bad Homburg F,L vs Siniakova,4.2,4.5,3.9,51.6%,54.1%,52.9%,18.2%,57.6%,7.1%,8.0,6.1,6.5,7.1
2023 Roland Garros R128,L vs Jabeur,4.6,5.6,3.3,43.6%,34.5%,58.8%,30.0%,45.0%,6.3%,6.5,7.6,-8.0,-8.1
2023 Rabat F,W vs Grabher,4.4,4.6,4.3,59.1%,41.4%,52.9%,29.4%,55.8%,6.2%,7.0,3.6,6.0,3.8
2023 Merida R32,L vs Volynets,6.2,7.0,5.2,40.0%,43.9%,64.7%,36.8%,60.2%,5.3%,2.5,1.0,-8.0,-5.0
2022 Palermo F,L vs Begu,7.3,7.5,7.2,40.0%,41.7%,44.4%,35.7%,54.5%,7.1%,3.5,2.0,-4.0,-2.9
2022 Rabat SF,L vs Trevisan,5.7,5.6,5.8,47.8%,41.4%,43.8%,40.0%,50.4%,4.5%,4.0,3.1,-0.5,-0.4
2022 Miami R16,L vs Saville,5.4,5.5,5.3,47.8%,55.9%,47.2%,42.4%,57.9%,8.1%,19.5,6.9,0.5,0.3
2022 Australian Open R64,L vs Barty,4.1,5.2,3.2,25.6%,43.8%,33.3%,25.0%,58.3%,10.0%,6.0,9.1,-4.0,-9.3
Last 52 Weeks (2 matches),,4.4,4.6,4.2,47.5%,38.0%,53.7%,32.3%,55.0%,11.8%,2.8,1.9,-6.3,-5.7
Career (22 matches),,4.8,5.0,4.5,48.7%,44.8%,53.7%,39.3%,56.8%,7.7%,5.3,3.9,0.3,0.3
