Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,131,84,47,64.1%,178-128,58.2%,1539-1322,53.8%,20-13,60.6%,128,75.7%,32.5%,10.3%,6.1%,53.0%,74.9%,45.9%,61.3%,42.4%,51.7%,1.09
Clay,61,44,17,72.1%,97-44,68.8%,748-553,57.5%,8-8,50.0%,59,74.4%,40.7%,6.5%,5.8%,52.1%,71.6%,46.7%,59.7%,46.2%,52.9%,1.15
Grass,15,5,10,33.3%,13-22,37.1%,158-186,45.9%,1-2,33.3%,15,71.0%,21.8%,9.1%,6.9%,52.4%,75.0%,41.3%,59.0%,38.2%,48.6%,0.93
Grand Slams,46,31,15,67.4%,66-42,61.1%,546-456,54.5%,9-7,56.3%,46,72.9%,36.1%,9.6%,6.5%,52.8%,74.2%,44.5%,60.2%,44.0%,52.0%,1.11
Premiers,66,38,28,57.6%,84-67,55.6%,734-665,52.5%,7-3,70.0%,65,76.4%,29.1%,9.3%,6.1%,51.9%,75.5%,45.3%,61.0%,41.3%,51.1%,1.06
Internationals,23,17,6,73.9%,36-19,65.5%,278-219,55.9%,2-2,50.0%,21,78.2%,36.6%,8.1%,7.4%,51.2%,74.9%,47.6%,61.6%,44.0%,52.8%,1.15
Finals,10,5,5,50.0%,12-13,48.0%,124-122,50.4%,1-3,25.0%,10,71.3%,30.0%,8.9%,5.6%,53.2%,69.8%,43.4%,57.5%,42.1%,49.8%,0.99
Semi-finals,15,10,5,66.7%,23-13,63.9%,195-163,54.5%,2-2,50.0%,14,73.1%,38.6%,8.5%,5.2%,53.1%,72.7%,44.7%,59.6%,44.2%,52.0%,1.09
Quarter-finals,24,13,11,54.2%,28-27,50.9%,260-251,50.9%,3-4,42.9%,23,70.6%,31.5%,8.0%,5.5%,51.8%,72.9%,43.2%,58.6%,42.7%,50.3%,1.03
vs Righties,187,120,67,64.2%,259-176,59.5%,2196-1860,54.1%,26-18,59.1%,182,74.9%,33.8%,9.3%,6.1%,52.7%,73.9%,45.6%,60.5%,43.1%,51.7%,1.09
vs Lefties,19,12,7,63.2%,27-18,60.0%,237-199,54.4%,3-5,37.5%,19,75.6%,33.6%,7.8%,6.1%,52.9%,74.4%,46.9%,61.4%,43.0%,52.0%,1.12
vs Top 10,34,11,23,32.4%,29-49,37.2%,322-387,45.4%,3-5,37.5%,34,65.3%,25.9%,8.0%,5.8%,52.1%,69.4%,40.8%,55.7%,39.7%,47.7%,0.89
