Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Indian Wells R64,L vs Ruzic,27.1%,34.3%,43.5%,40.0%,45.7%,47.6%,53.3%,60.0%,50.0%,16.7%,26.7%,40.0%,11.1%,58.3%,25.0%,46
2025 Beijing R64,W vs Arango,14.8%,40.7%,59.5%,15.6%,43.8%,59.3%,53.3%,58.8%,0.0%,16.7%,44.4%,60.0%,30.0%,50.0%,-,38
2025 Queens Club SF,L vs Anisimova,28.4%,39.5%,36.0%,40.5%,54.8%,40.0%,60.0%,54.5%,33.3%,19.4%,29.0%,32.0%,5.6%,38.5%,100.0%,58
2025 Roland Garros QF,L vs Sabalenka,32.5%,40.3%,34.0%,45.5%,54.5%,33.3%,68.2%,63.6%,0.0%,17.9%,25.0%,34.8%,0.0%,70.0%,80.0%,56
2025 Rome SF,L vs Gauff,14.3%,17.0%,38.0%,21.8%,27.3%,39.5%,69.0%,46.2%,20.0%,7.5%,7.5%,36.7%,30.0%,63.6%,100.0%,-38
2025 Rome QF,W vs Sabalenka,25.4%,46.0%,61.4%,32.4%,58.8%,73.9%,60.0%,47.4%,33.3%,19.2%,34.6%,47.6%,7.1%,66.7%,0.0%,21
2025 Rome R16,W vs Andreescu,12.3%,26.3%,63.4%,14.8%,33.3%,73.9%,41.7%,20.0%,0.0%,14.3%,28.6%,50.0%,0.0%,45.5%,0.0%,-4
2025 Madrid R64,L vs Potapova,12.9%,27.4%,42.3%,22.2%,40.7%,42.9%,69.2%,64.3%,100.0%,6.1%,18.2%,41.9%,11.1%,60.0%,33.3%,-53
2025 Charleston R32,W vs Sakkari,30.2%,43.4%,54.3%,37.5%,56.3%,80.0%,29.4%,26.7%,50.0%,21.1%,26.3%,20.0%,11.1%,10.0%,-,11
2025 Miami QF,L vs Sabalenka,18.2%,27.3%,28.0%,29.0%,48.4%,50.0%,56.3%,40.0%,80.0%,9.7%,9.7%,10.7%,33.3%,12.5%,0.0%,-20
2025 Indian Wells QF,L vs Swiatek,20.3%,25.4%,34.1%,26.5%,29.4%,36.0%,58.8%,35.3%,0.0%,13.6%,22.7%,31.6%,28.6%,60.0%,50.0%,19
2025 Indian Wells R16,W vs Kostyuk,21.8%,25.5%,52.4%,25.8%,32.3%,56.5%,52.9%,35.7%,-,17.4%,17.4%,47.4%,11.1%,42.9%,66.7%,-54
2025 Indian Wells R64,W vs Azarenka,23.7%,33.9%,56.1%,30.3%,42.4%,56.5%,35.7%,26.3%,0.0%,18.2%,27.3%,55.6%,0.0%,45.5%,0.0%,58
2025 Australian Open R64,L vs Siegemund,32.9%,36.7%,38.0%,40.9%,45.5%,38.5%,43.8%,32.1%,50.0%,25.0%,28.1%,37.5%,17.6%,40.0%,50.0%,0
2025 Australian Open R128,W vs Todoni,41.2%,52.9%,51.4%,51.2%,63.4%,65.0%,52.9%,54.2%,100.0%,29.2%,41.7%,35.3%,30.0%,64.3%,66.7%,30
2024 Riyadh Finals F,L vs Gauff,21.2%,28.8%,41.3%,30.6%,38.9%,46.0%,68.6%,43.2%,40.0%,6.7%,13.3%,35.7%,35.3%,82.1%,60.0%,-78
2024 Riyadh Finals SF,W vs Krejcikova,33.8%,47.9%,51.2%,42.5%,60.0%,60.9%,45.0%,45.0%,-,25.9%,37.0%,40.0%,23.1%,50.0%,50.0%,52
2024 Riyadh Finals RR,W vs Paolini,46.8%,57.4%,40.0%,66.7%,70.0%,30.0%,66.7%,55.6%,100.0%,11.8%,35.3%,46.7%,0.0%,28.6%,-,-104
2024 Riyadh Finals RR,W vs Rybakina,38.6%,48.9%,49.0%,54.0%,66.0%,56.5%,68.0%,20.0%,33.3%,21.2%,30.3%,42.3%,14.3%,47.4%,0.0%,55
2024 Riyadh Finals RR,L vs Sabalenka,38.2%,40.0%,50.0%,60.7%,60.7%,54.5%,50.0%,60.0%,-,17.4%,21.7%,47.4%,33.3%,52.9%,33.3%,52
Last 52 Weeks (9 matches),,21.9%,33.7%,46.3%,30.8%,45.7%,52.9%,57.6%,50.0%,31.8%,14.3%,23.9%,39.6%,12.8%,55.2%,63.6%,23
Career (88 matches),,27.8%,37.8%,46.4%,39.5%,53.4%,54.2%,53.7%,46.4%,47.7%,17.4%,23.9%,39.1%,26.5%,49.9%,50.8%,54
