Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,13,8,5,61.5%,18-12,60.0%,157-130,54.7%,3-0,100.0%,13,78.1%,28.4%,10.6%,5.6%,56.3%,74.8%,48.5%,63.3%,40.6%,51.9%,1.11
Clay,14,10,4,71.4%,21-10,67.7%,166-129,56.3%,1-3,25.0%,14,68.9%,44.1%,5.4%,6.0%,53.6%,69.1%,44.0%,57.5%,47.0%,52.2%,1.11
Grass,4,2,2,50.0%,6-5,54.5%,53-53,50.0%,0-0,-,4,67.9%,32.1%,8.1%,6.0%,54.6%,71.0%,43.4%,58.5%,41.6%,50.1%,1.00
Grand Slams,6,4,2,66.7%,9-5,64.3%,71-64,52.6%,1-1,50.0%,6,67.6%,36.9%,7.4%,5.8%,56.5%,69.4%,43.3%,58.1%,44.1%,51.4%,1.05
Premiers,6,4,2,66.7%,9-6,60.0%,73-65,52.9%,0-0,-,6,72.5%,33.3%,7.3%,6.2%,54.4%,72.0%,44.5%,59.5%,43.3%,51.3%,1.07
Semi-finals,2,0,2,0.0%,2-4,33.3%,30-34,46.9%,0-2,0.0%,2,48.4%,48.4%,3.1%,6.2%,50.3%,57.7%,37.5%,47.7%,47.3%,47.4%,0.90
Quarter-finals,5,2,3,40.0%,4-6,40.0%,45-51,46.9%,0-1,0.0%,5,66.0%,29.2%,5.9%,5.9%,51.5%,69.5%,38.9%,54.6%,41.5%,48.2%,0.92
vs Righties,29,18,11,62.1%,41-27,60.3%,351-300,53.9%,3-3,50.0%,29,71.6%,35.3%,8.0%,5.9%,54.6%,71.2%,45.3%,59.4%,43.5%,51.4%,1.07
vs Lefties,2,2,0,100.0%,4-0,100.0%,25-12,67.6%,1-0,100.0%,2,89.5%,41.2%,6.4%,4.5%,60.9%,82.1%,55.8%,71.8%,44.6%,58.1%,1.58
vs Top 10,6,1,5,16.7%,4-10,28.6%,66-80,45.2%,0-3,0.0%,6,62.0%,30.6%,6.4%,5.7%,51.7%,67.2%,39.0%,53.6%,41.3%,47.3%,0.89
