Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,49,15,34,30.6%,46-79,36.8%,577-681,45.9%,12-15,44.4%,44,73.3%,18.4%,5.6%,3.2%,64.5%,66.9%,49.7%,60.8%,35.2%,48.1%,0.90
Clay,23,8,15,34.8%,21-34,38.2%,229-279,45.1%,2-4,33.3%,23,71.1%,19.4%,5.3%,3.9%,62.6%,67.8%,47.0%,60.0%,36.3%,48.1%,0.91
Grass,8,3,5,37.5%,12-18,40.0%,146-160,47.7%,3-5,37.5%,8,80.4%,15.0%,7.1%,2.9%,65.5%,69.8%,53.6%,64.2%,31.7%,48.4%,0.89
Grand Slams,14,3,11,21.4%,17-36,32.1%,239-287,45.4%,4-8,33.3%,14,74.7%,16.1%,6.1%,3.4%,65.2%,67.1%,50.0%,61.1%,33.2%,47.5%,0.85
Other Tours,49,14,35,28.6%,40-74,35.1%,499-621,44.6%,9-14,39.1%,49,71.7%,17.8%,5.7%,3.2%,63.2%,67.3%,48.4%,60.4%,35.0%,47.8%,0.88
Best of 5,17,4,13,23.5%,22-43,33.8%,296-349,45.9%,5-9,35.7%,17,74.0%,17.8%,5.5%,3.6%,64.5%,66.8%,50.1%,60.9%,34.4%,47.7%,0.88
Best of 3,63,22,41,34.9%,57-88,39.3%,656-771,46.0%,12-15,44.4%,58,73.8%,18.2%,5.9%,3.2%,64.0%,68.0%,49.3%,61.3%,35.3%,48.3%,0.91
Quarter-finals,2,0,2,0.0%,1-4,20.0%,17-26,39.5%,0-0,-,2,45.5%,33.3%,5.8%,3.2%,57.1%,59.6%,38.8%,50.6%,41.6%,46.4%,0.84
vs Righties,72,21,51,29.2%,67-121,35.6%,850-1015,45.6%,16-22,42.1%,67,73.5%,17.7%,5.7%,3.3%,64.0%,67.4%,49.8%,61.0%,34.4%,47.9%,0.88
vs Lefties,8,5,3,62.5%,12-10,54.5%,102-105,49.3%,1-2,33.3%,8,76.7%,21.6%,6.1%,3.0%,65.1%,69.4%,47.6%,61.8%,39.4%,50.3%,1.03
vs Top 10,4,0,4,0.0%,0-10,0.0%,30-62,32.6%,0-1,0.0%,4,62.2%,4.3%,3.5%,1.3%,66.6%,55.5%,50.5%,53.8%,22.9%,40.3%,0.49
