Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,9,Hard,18,9,9,50.0%,11,8,3,72.7%,2013,2022,R32,18,0.95,11.6%,4.0%,57.7%,74.8%,51.5%,64.9%,33.2%,57.0%,37.5%
Roland Garros,11,Clay,24,13,11,54.2%,18,9,9,50.0%,2013,2023,R32,24,0.92,6.6%,3.2%,57.7%,71.1%,51.1%,62.6%,34.4%,60.6%,40.4%
Wimbledon,10,Grass,21,11,10,52.4%,16,9,7,56.3%,2013,2023,R16,21,0.95,10.8%,4.1%,60.5%,74.5%,51.0%,65.2%,33.1%,72.8%,36.1%
US Open,14,Hard,21,7,14,33.3%,22,11,11,50.0%,2010,2023,R32,21,0.85,10.1%,4.4%,58.5%,74.6%,50.0%,64.4%,30.5%,65.8%,28.2%
Olympics,1,,4,3,1,75.0%,1,0,1,0.0%,2016,2016,QF,4,1.31,11.0%,2.6%,64.3%,73.3%,64.2%,70.0%,39.3%,28.6%,52.0%
Davis Cup,3,,4,1,3,25.0%,3,1,2,33.3%,2015,2018,,3,0.86,11.4%,2.7%,63.2%,76.1%,45.6%,64.9%,30.3%,57.9%,60.0%
Indian Wells Masters,12,Hard,19,7,12,36.8%,16,6,10,37.5%,2011,2024,R32,19,0.96,7.9%,4.3%,58.6%,76.7%,50.2%,65.8%,32.7%,67.9%,32.7%
Cincinnati Masters,10,Hard,20,10,10,50.0%,11,6,5,54.5%,2011,2022,QF,18,0.94,8.7%,4.0%,57.6%,74.3%,49.6%,63.8%,34.0%,63.6%,32.4%
Miami Masters,10,Hard,17,7,10,41.2%,6,5,1,83.3%,2013,2023,R32,17,0.95,12.0%,4.2%,56.2%,76.9%,51.5%,65.8%,32.5%,65.7%,38.2%
Winston-Salem,9,Hard,30,21,9,70.0%,11,7,4,63.6%,2013,2022,F,29,1.17,13.5%,3.6%,58.4%,77.9%,55.7%,68.7%,36.5%,66.7%,41.3%
Delray Beach,9,Hard,29,19,10,65.5%,12,5,7,41.7%,2014,2023,SF,29,1.13,11.1%,4.6%,60.3%,75.5%,52.5%,66.4%,38.0%,67.5%,42.5%
Houston,9,Clay,20,13,7,65.0%,12,9,3,75.0%,2013,2023,W,20,0.97,8.5%,4.4%,58.2%,75.8%,50.7%,65.3%,33.6%,64.1%,30.8%
