Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2023 US Open R128,L vs Fritz,0.85,0.19,18.7,2.1,5.4%,37.8%,3.0%,57.6%,14.3%,9.1%
2022 Tokyo R32,L vs Shapovalov,0.98,0.28,47.1,2.2,10.5%,65.8%,8.1%,64.9%,14.8%,4.3%
2022 US Open R128,L vs Dimitrov,0.76,0.29,19.6,2.1,9.1%,54.5%,2.4%,57.1%,17.1%,17.2%
2022 Newport QF,L vs Cressy,0.93,0.82,55.6,5.0,20.0%,66.0%,6.3%,75.0%,25.0%,27.1%
2022 Wimbledon R32,L vs Norrie,1.09,0.61,33.4,2.3,8.2%,53.1%,14.6%,45.8%,39.5%,16.7%
2022 Wimbledon R64,W vs Peniston,1.17,2.13,27.0,2.1,17.5%,72.5%,17.1%,82.9%,39.5%,43.6%
2022 Roland Garros R64,L vs Simon,0.99,0.74,35.8,3.0,3.6%,51.8%,2.0%,51.0%,35.8%,36.7%
2022 Indian Wells R32,L vs Hurkacz,0.91,0.76,57.9,2.9,12.5%,75.0%,6.7%,56.7%,29.7%,26.5%
2022 Australian Open R64,L vs Sinner,0.81,0.42,24.0,2.0,4.5%,56.8%,7.5%,57.5%,20.5%,25.0%
2021 US Open R64,L vs Monfils,1.04,0.74,42.4,2.2,4.1%,66.2%,6.0%,61.2%,29.5%,21.8%
2021 US Open R128,W vs Marterer,1.00,1.36,54.1,5.1,22.5%,77.5%,16.4%,75.4%,33.7%,29.7%
2021 Washington QF,L vs Sinner,0.92,0.50,40.2,2.3,0.0%,53.6%,8.0%,60.0%,22.2%,25.0%
2021 Wimbledon R64,L vs Fritz,0.93,0.89,58.9,3.1,13.7%,66.3%,3.5%,61.6%,38.6%,29.8%
2021 Wimbledon R128,W vs Novak,1.06,1.43,39.9,2.3,13.5%,75.0%,6.1%,67.3%,40.0%,37.5%
2021 Roland Garros R32,L vs Carreno Busta,0.83,0.63,29.4,2.4,8.3%,62.5%,9.3%,48.8%,36.0%,30.2%
2021 Roland Garros R64,W vs Monteiro,1.20,1.14,56.3,2.5,9.8%,58.7%,12.0%,63.9%,35.7%,38.0%
2021 Roland Garros R128,W vs Tiafoe,1.10,1.21,40.8,8.8,5.2%,64.9%,10.1%,60.9%,34.7%,47.8%
2020 Roland Garros R128,L vs Carballes Baena,1.00,0.35,21.1,2.2,2.9%,38.2%,0.0%,40.0%,24.1%,17.4%
2020 US Open R64,L vs Berankis,0.94,0.67,35.6,2.5,11.4%,71.4%,8.3%,56.7%,23.2%,27.8%
2020 US Open R128,W vs Isner,1.10,1.19,63.5,4.0,14.7%,77.9%,8.9%,68.9%,30.3%,26.8%
2023 (1 matches),,0.85,0.19,18.7,2.1,5.4%,37.8%,3.0%,57.6%,14.3%,9.1%
2022 (8 matches),,0.96,0.68,37.5,2.5,10.5%,60.9%,7.9%,60.7%,28.7%,26.6%
2021 (8 matches),,1.02,0.98,47.6,2.9,10.4%,66.1%,8.9%,62.9%,34.8%,33.2%
2020 (4 matches),,0.97,0.66,42.2,2.5,10.5%,65.0%,6.5%,60.5%,26.7%,23.8%
2019 (19 matches),,0.98,0.88,50.8,2.9,8.8%,66.8%,6.5%,62.3%,32.2%,31.5%
Career (355 matches),,1.05,1.03,50.9,2.7,9.5%,66.2%,7.8%,65.0%,33.9%,34.0%
