Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2022 Tokyo R32,L vs Shapovalov,3.0,3.2,2.8,45.7%,26.3%,50.0%,50.0%,60.9%,68.5%,1.0,1.4,-1.5,-8.8
2022 US Open R128,L vs Dimitrov,2.6,3.1,2.0,40.9%,30.4%,37.5%,50.0%,58.4%,77.4%,-1.5,-1.9,-3.0,-21.4
2022 Newport QF,L vs Cressy,2.4,3.2,1.6,50.3%,41.7%,40.0%,20.0%,65.2%,53.1%,5.0,5.8,3.0,15.0
2022 Roland Garros R64,L vs Simon,4.7,4.8,4.6,46.4%,36.4%,56.3%,30.4%,60.5%,78.7%,16.5,7.2,-4.0,-13.3
2022 Indian Wells R32,L vs Hurkacz,3.2,3.3,3.1,46.1%,44.8%,75.0%,14.3%,50.9%,63.0%,4.5,5.8,-1.5,-5.6
2022 Australian Open R64,L vs Sinner,3.9,4.0,3.8,41.1%,40.6%,43.8%,41.7%,54.5%,58.6%,-3.0,-2.4,-2.5,-5.4
2021 Washington QF,L vs Sinner,3.1,3.3,3.0,45.1%,30.4%,25.0%,33.3%,47.5%,75.8%,5.5,10.0,-3.0,-20.0
2020 Australian Open R128,L vs Federer,3.4,3.8,2.9,38.4%,45.7%,25.0%,0.0%,42.0%,44.1%,0.5,0.7,-7.0,-14.0
2019 Wimbledon R32,L vs Nishikori,3.3,3.2,3.6,47.9%,27.8%,29.4%,33.3%,50.9%,81.5%,3.5,3.5,-1.5,-7.9
2019 Rome R64,L vs Sinner,4.3,4.0,4.7,51.9%,53.5%,50.0%,36.4%,61.4%,81.9%,12.0,7.9,0.5,2.8
2019 Houston R16,L vs Galan,3.5,3.4,3.6,44.9%,31.0%,60.0%,50.0%,66.0%,71.7%,1.0,1.1,-2.5,-16.7
2019 Indian Wells R128,W vs Fritz,4.4,3.8,5.1,64.7%,48.1%,33.3%,72.7%,37.7%,83.7%,13.0,28.9,1.5,11.5
2018 Winston Salem F,L vs Medvedev,4.0,3.8,4.2,56.6%,29.2%,40.0%,30.0%,50.5%,84.8%,6.5,7.0,-1.5,-12.5
2018 Newport F,W vs Ramanathan,3.1,3.6,2.7,46.9%,53.7%,66.7%,60.0%,64.6%,48.4%,21.0,21.9,6.5,23.2
2018 Houston F,W vs Sandgren,4.6,4.0,5.0,50.0%,49.0%,52.4%,52.6%,60.1%,89.7%,22.0,11.3,0.5,5.0
2017 Brisbane R32,L vs De Minaur,3.2,2.6,4.0,47.2%,40.0%,45.5%,42.9%,55.5%,84.4%,7.0,7.8,1.0,12.5
2017 Tokyo QF,L vs Schwartzman,4.9,4.9,4.8,40.9%,30.0%,52.4%,47.1%,59.0%,86.9%,-6.0,-4.5,-3.5,-26.9
2017 Houston F,W vs Bellucci,3.2,3.0,3.4,52.3%,49.0%,47.1%,50.0%,62.1%,71.1%,5.0,3.4,1.5,6.0
2017 Indian Wells R32,L vs Federer,2.8,2.8,2.7,46.6%,48.1%,61.5%,25.0%,50.0%,61.7%,-4.0,-5.4,-3.5,-11.3
2017 Auckland QF,W vs Isner,2.7,2.6,2.7,50.3%,52.8%,70.0%,100.0%,44.4%,64.0%,13.5,20.5,2.5,6.9
Career (32 matches),,3.5,3.4,3.6,48.3%,46.9%,45.6%,43.2%,55.0%,73.9%,6.3,6.1,-0.3,-1.5
