Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2024,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,1,62.5%,0.0%,6.3%,3.2%,52.4%,60.6%,46.7%,54.0%,25.9%,41.0%,0.56,R32 (Dallas)
2023,7,2,5,28.6%,5-12,29.4%,67-88,43.2%,1-1,50.0%,7,74.4%,10.7%,10.2%,4.7%,60.5%,72.7%,43.8%,61.3%,29.7%,46.2%,0.77,R16 (2x)
2022,34,17,17,50.0%,39-46,45.9%,421-450,48.3%,11-12,47.8%,33,83.9%,12.9%,11.8%,4.6%,56.7%,77.1%,52.6%,66.5%,31.5%,49.3%,0.94,QF (2x)
2021,22,10,12,45.5%,30-33,47.6%,324-329,49.6%,11-6,64.7%,22,81.3%,17.2%,10.4%,4.1%,55.3%,74.5%,53.2%,65.0%,33.5%,49.5%,0.96,QF (2x)
2020,14,6,8,42.9%,15-24,38.5%,189-216,46.7%,5-9,35.7%,14,80.8%,12.7%,8.6%,3.0%,60.4%,72.6%,49.1%,63.3%,31.0%,47.8%,0.84,QF (Delray Beach)
2019,35,14,21,40.0%,39-50,43.8%,444-457,49.3%,7-13,35.0%,35,81.4%,17.5%,7.7%,3.5%,58.7%,73.5%,52.3%,64.7%,33.6%,49.5%,0.95,SF (Winston-Salem)
2018,51,27,24,52.9%,68-60,53.1%,659-623,51.4%,14-11,56.0%,51,85.3%,17.2%,9.1%,4.1%,58.0%,74.8%,53.2%,65.7%,34.4%,50.3%,1.00,W (2x)
2017,53,30,23,56.6%,73-60,54.9%,684-658,51.0%,14-14,50.0%,52,84.0%,18.0%,10.0%,4.3%,59.8%,76.1%,51.0%,66.0%,33.8%,50.1%,0.99,W (Houston)
2016,58,30,28,51.7%,72-67,51.8%,724-709,50.5%,20-15,57.1%,58,84.7%,15.9%,10.9%,3.3%,61.0%,75.0%,53.2%,66.5%,33.6%,50.1%,1.00,W (Nottingham)
2015,65,37,28,56.9%,87-80,52.1%,853-825,50.8%,15-20,42.9%,63,84.3%,17.7%,12.3%,3.5%,59.8%,75.9%,53.7%,67.0%,34.4%,50.7%,1.04,F (Vienna)
2014,40,20,20,50.0%,47-50,48.5%,487-504,49.1%,11-13,45.8%,39,84.4%,14.0%,10.3%,3.1%,59.1%,75.4%,51.7%,65.7%,32.5%,49.4%,0.95,SF (Delray Beach)
2013,14,4,10,28.6%,16-26,38.1%,199-225,46.9%,5-7,41.7%,14,82.6%,11.7%,9.4%,4.3%,55.9%,73.0%,49.7%,62.7%,29.7%,47.2%,0.80,QF (San Jose)
2012,8,3,5,37.5%,8-13,38.1%,110-116,48.7%,2-7,22.2%,8,88.3%,9.4%,10.2%,4.6%,60.3%,75.1%,50.8%,65.5%,28.5%,48.1%,0.82,R16 (Atlanta)
2011,2,0,2,0.0%,3-5,37.5%,37-41,47.4%,0-1,0.0%,2,83.8%,15.0%,12.2%,5.1%,61.4%,75.0%,46.9%,64.2%,32.4%,48.5%,0.90,R32 (Los Angeles)
2010,1,0,1,0.0%,0-2,0.0%,8-12,40.0%,0-0,-,1,70.0%,10.0%,2.9%,7.1%,48.6%,70.6%,44.4%,57.1%,33.8%,45.4%,0.79,R32 (Los Angeles)
Career,405,200,205,49.4%,502-530,48.6%,5211-5265,49.7%,116-129,47.3%,400,83.6%,15.8%,10.3%,3.8%,58.9%,75.1%,52.1%,65.6%,33.1%,49.6%,0.96,
