Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,8,Hard,10,2,8,20.0%,0,0,0,-,1997,2004,R64,1,0.65,1.8%,5.4%,58.9%,45.5%,60.9%,51.8%,31.3%,33.3%,14.3%
Roland Garros,11,Clay,17,6,11,35.3%,3,1,2,33.3%,1992,2004,R32,1,0.54,1.9%,11.5%,51.9%,44.4%,36.0%,40.4%,31.9%,37.5%,0.0%
Wimbledon,8,Grass,12,4,8,33.3%,3,2,1,66.7%,1997,2004,R32,1,1.00,3.7%,7.5%,67.3%,62.5%,37.1%,54.2%,46.0%,46.2%,43.8%
US Open,9,Hard,11,2,9,18.2%,2,1,1,50.0%,1996,2004,R64,1,0.36,6.3%,6.3%,71.9%,34.8%,44.4%,37.5%,22.2%,16.7%,0
Budapest,7,Clay,17,10,7,58.8%,3,2,1,66.7%,1997,2004,F,0,,,,,,,,,,
Bogota,6,Clay,12,6,6,50.0%,2,2,0,100.0%,1998,2003,SF,0,,,,,,,,,,
Bol,6,Clay,9,3,6,33.3%,2,2,0,100.0%,1997,2003,QF,0,,,,,,,,,,
Sopot,5,Clay,14,10,4,71.4%,4,2,2,50.0%,1998,2003,W,0,,,,,,,,,,
Estoril,5,Clay,14,9,5,64.3%,1,0,1,0.0%,1999,2004,QF,0,,,,,,,,,,
ITF Valencia,5,Clay,14,9,5,64.3%,2,2,0,100.0%,1990,1994,F,0,,,,,,,,,,
