Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,35,9,26,25.7%,32-60,34.8%,415-495,45.6%,5-6,45.5%,33,72.2%,19.0%,4.9%,4.0%,60.6%,67.3%,49.0%,60.1%,36.3%,48.1%,0.91
Clay,53,28,25,52.8%,72-60,54.5%,640-589,52.1%,6-2,75.0%,52,68.7%,35.3%,1.8%,2.6%,68.8%,61.9%,50.7%,58.4%,43.6%,50.9%,1.05
Grass,5,1,4,20.0%,3-11,21.4%,62-79,44.0%,0-2,0.0%,5,72.5%,15.7%,4.6%,3.2%,61.0%,68.1%,47.0%,59.9%,32.8%,46.6%,0.82
Grand Slams,13,5,8,38.5%,23-28,45.1%,233-243,48.9%,3-2,60.0%,13,68.5%,28.8%,3.4%,3.0%,66.6%,61.3%,50.3%,57.6%,41.3%,49.4%,0.97
Masters,20,5,15,25.0%,16-30,34.8%,211-250,45.8%,1-4,20.0%,20,74.4%,17.9%,3.7%,3.5%,63.7%,67.6%,49.8%,61.1%,35.4%,48.1%,0.91
Other Tours,58,27,31,46.6%,66-70,48.5%,651-645,50.2%,7-4,63.6%,57,69.5%,30.9%,2.9%,3.1%,65.1%,64.2%,49.5%,59.1%,41.4%,50.2%,1.01
Best of 5,13,5,8,38.5%,23-28,45.1%,233-243,48.9%,3-2,60.0%,13,68.5%,28.8%,3.4%,3.0%,66.6%,61.3%,50.3%,57.6%,41.3%,49.4%,0.97
Best of 3,80,33,47,41.3%,84-103,44.9%,884-920,49.0%,8-8,50.0%,77,70.8%,27.5%,3.1%,3.2%,64.8%,65.1%,49.5%,59.6%,39.9%,49.6%,0.99
Finals,2,0,2,0.0%,0-4,0.0%,12-25,32.4%,0-0,-,2,38.9%,26.3%,1.5%,1.5%,70.1%,50.0%,41.5%,47.4%,36.4%,42.5%,0.69
Semi-finals,3,2,1,66.7%,5-2,71.4%,36-31,53.7%,1-0,100.0%,3,72.7%,33.3%,1.8%,0.9%,74.1%,65.6%,45.6%,60.5%,43.3%,51.4%,1.09
Quarter-finals,5,3,2,60.0%,8-6,57.1%,76-70,52.1%,1-0,100.0%,5,60.3%,43.1%,0.8%,1.2%,67.9%,55.7%,53.7%,55.0%,46.2%,50.7%,1.03
vs Righties,77,32,45,41.6%,88-107,45.1%,909-940,49.2%,7-7,50.0%,74,69.9%,28.6%,3.1%,3.2%,65.6%,63.8%,49.1%,58.8%,40.6%,49.6%,0.99
vs Lefties,16,6,10,37.5%,19-24,44.2%,208-223,48.3%,4-3,57.1%,16,71.8%,24.2%,3.4%,3.3%,63.5%,65.8%,52.2%,60.8%,38.2%,49.4%,0.97
vs Top 10,4,0,4,0.0%,1-9,10.0%,34-59,36.6%,0-0,-,3,58.3%,17.9%,2.1%,2.5%,70.1%,56.8%,43.1%,52.7%,36.0%,44.3%,0.76
