Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
7,Sijia Wei [CHN],2,5,28.6%,2,0,2,0.0%,2022,2024,0,,,,,,,,,,
6,Fangzhou Liu [CHN],3,3,50.0%,1,1,0,100.0%,2022,2025,3,1.03,2.2%,1.8%,61.0%,58.8%,46.0%,53.8%,47.7%,64.7%,36.8%
5,Zongyu Li [CHN],0,5,0.0%,1,0,1,0.0%,2022,2026,1,0.85,1.0%,1.9%,68.0%,62.9%,36.4%,54.4%,38.8%,54.5%,28.6%
5,Wushuang Zheng [CHN],4,1,80.0%,0,0,0,-,2023,2025,2,1.17,1.9%,0.6%,76.1%,62.0%,52.6%,59.7%,47.0%,58.3%,64.7%
4,Yasmine Mansouri [FRA],0,4,0.0%,0,0,0,-,2021,2026,1,0.50,2.1%,0.0%,68.1%,50.0%,40.0%,46.8%,26.7%,50.0%,0
4,Hong Yi Cody Wong [HKG],3,1,75.0%,0,0,0,-,2023,2025,1,1.13,0.0%,1.1%,88.6%,57.7%,50.0%,56.8%,48.7%,16.7%,53.8%
4,Yidi Yang [CHN],3,1,75.0%,2,1,1,50.0%,2023,2024,0,,,,,,,,,,
3,Nastasja Schunk [GER],1,2,33.3%,0,0,0,-,2025,2026,2,0.97,2.8%,2.8%,65.5%,58.6%,42.6%,53.1%,45.6%,50.0%,50.0%
3,Han Shi [CHN],3,0,100.0%,0,0,0,-,2022,2025,1,1.32,0.0%,3.9%,62.7%,65.6%,57.9%,62.7%,49.2%,50.0%,50.0%
3,Yufei Ren [CHN],2,1,66.7%,1,1,0,100.0%,2023,2025,1,1.23,4.8%,3.2%,67.7%,61.9%,40.0%,54.8%,55.7%,20.0%,66.7%
3,Xiaodi You [CHN],1,2,33.3%,1,1,0,100.0%,2023,2025,1,1.19,1.3%,0.0%,85.7%,60.6%,63.6%,61.0%,46.4%,57.1%,33.3%
3,Meiling Wang [CHN],0,3,0.0%,0,0,0,-,2024,2024,0,,,,,,,,,,
3,Jiaqi Wang [CHN],1,2,33.3%,0,0,0,-,2023,2024,0,,,,,,,,,,
3,Priska Madelyn Nugroho [INA],1,2,33.3%,2,1,1,50.0%,2022,2022,0,,,,,,,,,,
2,Ruien Zhang [CHN],0,2,0.0%,1,0,1,0.0%,2025,2025,2,0.83,0.8%,0.8%,72.0%,63.2%,37.8%,56.1%,36.5%,42.9%,45.5%
