Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2013,766,24,,,,,,,,,743,52,,
2012,741,23,,,,,,,,,,,,
2010,565,42,,,,,,,,,,,,
2009,237,188,113,1666,119,1593,90,1669,,,733,45,,
2006,146,315,93,1672,91,1616,76,1667,,,580,62,,
2005,408,68,,,,,,,,,795,30,,
2004,711,20,,,,,,,,,,,,
2003,121,337,120,1650,99,1620,98,1625,103,1527,321,135,,
2002,180,199,105,1688,85,1656,103,1636,,,398,88,,
2001,34,1025,58,1813,51,1757,55,1759,62,1622,354,120,,
2000,52,760,50,1821,44,1778,36,1823,52,1664,325,131,,
1999,98,377,57,1805,58,1746,53,1778,,,591,56,,
1998,633,26,,,,,,,,,,,,
1997,1122,4,,,,,,,,,,,,
