Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,3,1,2,33.3%,2-5,28.6%,33-39,45.8%,0-0,-,3,58.3%,33.3%,0.4%,5.2%,64.2%,65.8%,32.5%,53.9%,43.4%,48.5%,0.94,R16 (W35 Sabadell)
2025,42,21,21,50.0%,49-44,52.7%,426-417,50.5%,4-4,50.0%,42,65.1%,35.5%,3.5%,4.5%,57.8%,61.8%,49.0%,56.4%,43.9%,50.1%,1.01,F (W75 Rome GA)
2024,45,27,18,60.0%,59-43,57.8%,510-440,53.7%,3-8,27.3%,0,,,,,,,,,,,,F (W50 Boca Raton FL)
2023,43,20,23,46.5%,48-50,49.0%,440-452,49.3%,5-5,50.0%,5,73.1%,28.8%,2.6%,2.6%,55.1%,67.1%,46.8%,58.0%,40.9%,49.8%,0.97,SF (3x)
2022,65,40,25,61.5%,90-61,59.6%,760-655,53.7%,9-8,52.9%,9,64.0%,32.4%,4.1%,4.7%,59.9%,63.7%,44.2%,55.9%,43.0%,49.4%,0.97,W (W25 Santa Margherita di Pula)
2021,45,23,22,51.1%,58-50,53.7%,522-468,52.7%,4-4,50.0%,0,,,,,,,,,,,,SF (3x)
2020,18,9,9,50.0%,21-21,50.0%,208-196,51.5%,2-4,33.3%,0,,,,,,,,,,,,SF (W15 Cancun)
2019,50,33,17,66.0%,71-39,64.5%,573-458,55.6%,8-7,53.3%,0,,,,,,,,,,,,W (2x)
2018,16,8,8,50.0%,18-18,50.0%,161-163,49.7%,3-1,75.0%,0,,,,,,,,,,,,QF (2x)
2017,2,0,2,0.0%,0-4,0.0%,14-26,35.0%,0-1,0.0%,0,,,,,,,,,,,,R32 (2x)
Career,329,182,147,55.3%,416-335,55.4%,3647-3314,52.4%,38-42,47.5%,59,65.2%,34.3%,3.3%,4.4%,58.2%,62.8%,47.2%,56.3%,43.4%,49.9%,0.99,
