Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2025 Hamburg R32,L vs Alexandrova,0.92,0.27,30.2,2.0,0.0%,34.6%,0.0%,56.0%,9.5%,23.5%
2025 W50+H Palma del RÃ­o F,L vs Ngounoue,0.95,0.57,45.6,2.1,7.4%,59.3%,4.0%,48.0%,35.7%,19.2%
2025 W50+H Palma del RÃ­o SF,W vs Jorge,1.16,1.61,53.5,2.0,2.9%,70.6%,6.9%,79.3%,37.1%,33.3%
2025 BJK Cup Qualifiers RR,W vs Niemeier,1.05,1.51,42.9,2.2,7.7%,65.4%,4.2%,54.2%,67.7%,46.4%
2025 BJK Cup Qualifiers RR,L vs Kartal,1.07,0.77,64.0,2.7,6.4%,55.3%,2.3%,55.8%,31.8%,32.5%
2024 s Hertogenbosch R32,L vs Andreescu,0.92,0.77,57.6,4.0,6.5%,45.7%,11.6%,72.1%,32.6%,37.5%
2023 Palermo R32,L vs Navarro,0.98,0.77,64.2,3.8,0.0%,41.5%,2.7%,56.8%,46.9%,32.1%
2022 W60 San Sebastian SF,L vs Bolsova,0.95,0.67,45.3,2.1,0.0%,37.9%,0.0%,48.1%,34.4%,46.7%
2019 W15 Oldenzaal SF,L vs Burger,0.91,0.55,33.9,2.1,-,40.7%,-,50.0%,28.6%,38.5%
2019 W15 Oldenzaal QF,W vs Arcidiacono,1.07,1.49,37.8,2.0,-,60.0%,-,57.9%,52.9%,61.3%
2019 W15 Tabarka QF,W vs Visscher,1.02,1.26,57.7,2.0,-,48.5%,-,65.5%,52.9%,54.8%
2019 W15 Tabarka R32,W vs Peiretti,1.16,1.85,32.0,2.3,-,61.9%,-,57.9%,58.6%,69.0%
2019 W15 Tabarka F,W vs Bougrat,1.06,1.25,59.4,3.0,-,51.4%,-,62.9%,47.7%,53.7%
2019 W15 Tabarka QF,W vs Amendola,1.15,1.39,60.4,1000.0,-,49.2%,-,44.4%,63.8%,63.9%
2019 W15 Tabarka R16,W vs Timsit,0.97,1.16,60.9,2.8,-,63.4%,-,62.2%,35.1%,54.3%
2019 W15 Tabarka R32,W vs Turkmen,0.86,1.80,29.3,2.5,-,86.7%,-,64.0%,54.1%,44.4%
2019 W15 Alkmaar R32,W vs Wensveen,1.10,1.61,45.9,2.5,-,65.7%,-,57.6%,53.6%,57.7%
2019 W15 Tabarka F,W vs Vangelova,0.99,1.36,53.4,2.0,-,56.8%,-,58.3%,51.6%,65.5%
2019 W15 Tabarka QF,W vs Ceschi,1.16,1.68,39.0,2.0,-,72.0%,-,50.0%,60.0%,51.9%
2019 W15 Tabarka R16,W vs Nieuwboer,1.06,6.89,28.2,2.0,5.9%,88.2%,0.0%,92.9%,68.4%,56.3%
2025 (5 matches),,1.05,0.87,49.8,2.2,5.0%,57.5%,3.4%,58.9%,37.7%,31.9%
2024 (1 matches),,0.92,0.77,57.6,4.0,6.5%,45.7%,11.6%,72.1%,32.6%,37.5%
2023 (1 matches),,0.98,0.77,64.2,3.8,0.0%,41.5%,2.7%,56.8%,46.9%,32.1%
2022 (1 matches),,0.95,0.67,45.3,2.1,0.0%,37.9%,0.0%,48.1%,34.4%,46.7%
2019 (21 matches),,1.02,1.18,55.1,2.7,2.4%,59.5%,0.6%,59.8%,46.4%,47.0%
Career (31 matches),,1.02,1.05,54.7,2.6,2.9%,56.9%,1.6%,59.1%,43.3%,43.5%
