Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2023 Australian Open R128,L vs Sinner,64.6%,45.3%,4.9%,1/3,2.13,1.6%,61.1%,30.3%,1.9%,2.21,3.0%,76.9%,70.0%,11.5%,2.03,0.0%
2020 New York F,W vs Seppi,63.1%,65.9%,0.0%,0/0,2.46,15.4%,54.5%,62.5%,0.0%,2.33,33.3%,89.5%,70.6%,0.0%,2.57,0.0%
2019 Cincinnati R64,L vs Medvedev,58.8%,43.3%,0.0%,0/0,2.10,2.6%,58.8%,55.0%,0.0%,2.10,5.3%,66.7%,20.0%,0.0%,2.10,0.0%
2019 Washington QF,L vs Gojowczyk,54.8%,56.9%,2.2%,2/0,2.21,2.3%,42.2%,47.4%,4.4%,2.45,0.0%,71.1%,62.5%,0.0%,2.02,3.8%
2019 Eastbourne SF,L vs Fritz,57.5%,48.0%,2.3%,2/0,2.29,39.4%,48.1%,46.2%,1.9%,2.34,59.1%,82.8%,50.0%,3.4%,2.18,0.0%
2019 Madrid R64,L vs Fognini,76.9%,42.0%,10.8%,3/4,2.45,6.6%,79.5%,40.0%,4.5%,2.36,11.1%,83.3%,46.7%,27.8%,2.58,0.0%
2019 Indian Wells R16,L vs Federer,67.7%,45.5%,0.0%,0/0,2.16,32.0%,58.5%,33.3%,0.0%,2.11,35.7%,83.3%,60.0%,0.0%,2.23,27.3%
2019 Indian Wells R32,W vs Albot,84.6%,54.5%,1.9%,1/0,2.30,10.0%,84.6%,40.9%,0.0%,2.18,17.6%,88.0%,68.2%,4.0%,2.46,0.0%
2019 Australian Open R128,L vs Berdych,61.3%,34.8%,4.0%,1/2,2.72,10.3%,51.0%,24.0%,4.1%,2.61,17.1%,84.0%,47.6%,4.0%,2.89,0.0%
2018 Antwerp F,W vs Monfils,56.2%,40.7%,1.9%,2/0,2.13,16.0%,52.8%,47.4%,1.4%,2.06,30.6%,77.8%,28.6%,3.7%,2.19,2.6%
2018 Shanghai QF,L vs Zverev,59.3%,31.3%,7.4%,4/0,2.26,14.3%,62.9%,36.4%,8.6%,2.32,22.2%,62.5%,20.0%,6.3%,2.15,0.0%
2018 Queens Club R16,L vs Kyrgios,36.3%,45.9%,2.0%,0/2,2.12,32.9%,32.9%,37.5%,0.0%,1.88,46.2%,56.5%,61.5%,8.7%,2.42,16.1%
2018 Roland Garros R64,W vs Fucsovics,73.6%,49.3%,2.2%,1/1,2.38,10.6%,76.1%,48.6%,0.0%,2.56,22.6%,80.0%,50.0%,5.0%,2.21,0.0%
2018 Rome R16,L vs Zverev,70.5%,47.8%,2.1%,0/2,2.46,7.0%,69.9%,43.1%,0.0%,2.35,13.3%,80.0%,62.5%,10.0%,2.59,0.0%
2018 Madrid QF,L vs Shapovalov,59.8%,37.9%,5.2%,2/3,2.54,20.3%,44.6%,44.0%,7.1%,2.49,37.8%,86.8%,33.3%,2.6%,2.59,0.0%
2018 Marrakech F,L vs Andujar,80.0%,47.7%,7.3%,1/3,2.41,4.4%,73.7%,39.3%,2.6%,2.32,9.1%,94.1%,62.5%,17.6%,2.50,0.0%
2018 Australian Open SF,L vs Cilic,51.7%,45.7%,4.5%,1/3,2.46,4.5%,28.0%,35.7%,6.0%,2.30,7.1%,84.2%,50.0%,2.6%,2.75,0.0%
2018 Australian Open QF,W vs Dimitrov,62.9%,49.3%,4.3%,2/3,2.11,46.3%,67.1%,46.9%,2.7%,2.05,54.0%,66.7%,54.2%,8.3%,2.20,34.4%
2017 Monte Carlo R32,L vs Nadal,86.3%,42.9%,6.8%,2/3,2.09,2.3%,85.1%,40.0%,8.5%,2.13,3.2%,100.0%,47.8%,4.3%,1.98,0.0%
2017 Davis Cup World Group R1 RR,W vs Shapovalov,55.2%,50.0%,1.7%,0/1,2.02,20.7%,53.3%,56.3%,0.0%,2.14,54.5%,66.7%,43.8%,4.2%,1.94,0.0%
Career (31 matches),,64.0%,48.3%,3.5%,47.6%,2.31,14.5%,60.1%,44.3%,2.7%,2.27,23.5%,79.7%,53.7%,5.3%,2.37,3.3%
