Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),707,45,,,,,,,,,,,,
2025,704,45,,,,,,,,,,,,
2024,357,139,188,1570,158,1554,153,1566,160,1500,1039,30,,
2023,538,71,,,,,,,,,,,,
2022,581,52,,,,,,,,,,,,
2021,121,601,,,,,,,,,,,,
2020,48,1085,40,1797,37,1765,38,1742,,,165,450,,
2019,69,800,35,1834,32,1802,38,1772,63,1649,147,495,81,1649
2018,14,2150,19,1925,19,1872,20,1859,45,1685,161,430,,
2017,50,992,36,1853,33,1813,37,1796,86,1589,,,,
2016,45,1001,27,1897,28,1835,27,1851,69,1620,854,45,,
2015,102,568,107,1687,105,1631,81,1685,176,1475,,,,
2014,194,260,209,1529,198,1500,195,1486,192,1413,717,58,,
2013,376,110,,,,,,,,,,,,
2012,571,47,,,,,,,,,1534,6,,
