Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2023 Australian Open R128,L vs Sinner,19.8%,27.2%,33.3%,22.8%,26.7%,37.8%,36.4%,32.2%,45.0%,60.0%,40.0%,11.8%,14.7%,30.0%,4
2020 New York F,W vs Seppi,45.8%,52.1%,69.2%,49.4%,63.6%,66.7%,83.3%,68.8%,40.0%,38.9%,-,6.7%,20.0%,57.1%,-79
2019 Cincinnati R64,L vs Medvedev,29.3%,36.2%,35.0%,35.0%,37.5%,46.9%,45.0%,47.8%,50.0%,50.0%,50.0%,20.0%,24.0%,25.0%,-21
2019 Washington QF,L vs Gojowczyk,35.9%,44.9%,50.0%,40.0%,50.0%,60.0%,55.0%,58.0%,50.0%,61.1%,0.0%,23.5%,32.4%,46.2%,80
2019 Eastbourne SF,L vs Fritz,38.6%,57.9%,60.6%,47.7%,46.3%,65.9%,59.1%,59.0%,47.4%,36.4%,-,21.4%,42.9%,63.6%,88
2019 Madrid R64,L vs Fognini,13.9%,27.8%,44.3%,21.1%,16.3%,34.9%,52.8%,28.4%,47.4%,75.0%,75.0%,10.7%,17.9%,32.0%,-27
2019 Indian Wells R16,L vs Federer,34.9%,46.5%,40.0%,39.8%,41.7%,54.2%,28.6%,50.4%,33.3%,33.3%,50.0%,31.3%,43.8%,54.5%,160
2019 Indian Wells R32,W vs Albot,33.3%,50.0%,60.0%,42.1%,45.2%,64.5%,70.6%,58.7%,41.7%,68.4%,0.0%,13.3%,26.7%,46.2%,11
2019 Australian Open R128,L vs Berdych,22.8%,32.9%,43.1%,30.3%,25.5%,40.4%,48.6%,38.1%,40.9%,52.0%,50.0%,20.7%,24.1%,34.8%,63
2018 Antwerp F,W vs Monfils,28.6%,41.9%,58.7%,35.5%,41.0%,59.0%,61.1%,53.0%,34.8%,52.6%,100.0%,11.4%,18.2%,56.4%,-79
2018 Shanghai QF,L vs Zverev,38.5%,53.8%,48.3%,46.3%,47.2%,66.7%,57.9%,58.6%,50.0%,50.0%,0.0%,23.1%,30.8%,30.0%,88
2018 Queens Club R16,L vs Kyrgios,33.6%,47.3%,55.7%,42.9%,42.6%,60.3%,61.5%,57.6%,46.2%,50.0%,50.0%,20.5%,28.2%,48.4%,29
2018 Roland Garros R64,W vs Fucsovics,20.2%,34.8%,63.6%,26.0%,22.5%,45.0%,77.4%,35.3%,26.3%,28.6%,0.0%,20.5%,29.5%,51.4%,75
2018 Rome R16,L vs Zverev,28.0%,40.2%,43.9%,34.3%,38.8%,57.1%,46.7%,49.2%,42.1%,63.3%,33.3%,12.9%,16.1%,40.7%,13
2018 Madrid QF,L vs Shapovalov,32.7%,46.9%,53.6%,39.3%,38.3%,55.0%,56.8%,50.7%,53.8%,23.5%,25.0%,30.4%,43.5%,50.0%,121
2018 Marrakech F,L vs Andujar,19.6%,26.8%,26.7%,23.4%,26.7%,36.7%,18.2%,33.7%,42.9%,50.0%,25.0%,11.5%,15.4%,34.8%,-79
2018 Australian Open SF,L vs Cilic,31.7%,41.6%,42.4%,35.7%,38.2%,48.5%,42.9%,44.3%,43.8%,52.8%,50.0%,20.0%,30.0%,41.7%,59
2018 Australian Open QF,W vs Dimitrov,30.6%,42.7%,50.0%,38.8%,37.5%,53.8%,60.0%,50.1%,40.0%,57.8%,40.0%,20.0%,25.0%,34.4%,59
2017 Monte Carlo R32,L vs Nadal,8.2%,26.5%,46.5%,19.5%,7.5%,29.9%,45.2%,24.0%,65.7%,34.4%,14.3%,11.1%,22.2%,50.0%,-12
2017 Davis Cup World Group R1 RR,W vs Shapovalov,44.1%,54.2%,65.5%,46.6%,62.1%,72.4%,63.6%,67.2%,50.0%,76.9%,-,30.8%,42.3%,66.7%,123
Career (31 matches),,27.9%,40.0%,50.6%,34.2%,35.8%,50.8%,54.4%,46.4%,46.4%,49.0%,42.7%,17.9%,26.7%,45.9%,43
