Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,5,4,1,80.0%,7-2,77.8%,54-40,57.4%,2-1,66.7%,5,87.8%,26.5%,11.6%,3.0%,64.4%,80.2%,58.9%,72.7%,42.7%,55.3%,1.56,F (Nottingham 3)
2024,19,8,11,42.1%,19-25,43.2%,215-215,50.0%,2-8,20.0%,19,78.8%,22.1%,7.5%,4.7%,54.9%,73.6%,51.3%,63.5%,36.8%,50.1%,1.01,SF (Columbus)
2023,1,0,1,0.0%,1-2,33.3%,12-13,48.0%,0-0,-,1,69.2%,25.0%,1.3%,2.6%,57.7%,75.6%,36.4%,59.0%,38.0%,48.4%,0.93,R32 (Murcia)
2022,2,1,1,50.0%,2-2,50.0%,20-20,50.0%,0-1,0.0%,2,80.0%,21.1%,4.8%,6.1%,53.7%,67.1%,50.0%,59.2%,40.8%,50.2%,1.00,R16 (Winnipeg)
2019,5,5,0,100.0%,10-2,83.3%,67-38,63.8%,0-0,-,5,90.6%,36.5%,9.3%,4.7%,60.8%,79.8%,57.6%,71.1%,43.8%,57.0%,1.51,W (Indian Wells)
2016,15,14,1,93.3%,27-3,90.0%,176-97,64.5%,2-0,100.0%,14,89.8%,38.1%,6.3%,2.6%,60.6%,76.9%,56.2%,68.7%,44.8%,56.2%,1.43,W (2x)
2015,44,33,11,75.0%,71-31,69.6%,545-420,56.5%,8-5,61.5%,44,80.7%,31.5%,6.3%,2.5%,58.3%,71.5%,54.4%,64.3%,41.6%,52.8%,1.17,W (3x)
2014,38,21,17,55.3%,50-40,55.6%,445-395,53.0%,3-5,37.5%,38,79.4%,26.1%,5.0%,3.7%,63.0%,68.8%,54.3%,63.4%,38.5%,51.0%,1.05,F (Yokohama)
2013,5,2,3,40.0%,5-4,55.6%,47-41,53.4%,0-1,0.0%,4,79.5%,27.9%,3.7%,4.1%,62.5%,73.2%,47.5%,63.6%,39.7%,51.4%,1.09,R16 (2x)
2012,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,1,55.6%,0.0%,2.2%,6.5%,71.7%,54.5%,46.2%,52.2%,22.7%,37.8%,0.48,R32 (Nottingham2)
Career,135,88,47,65.2%,192-113,63.0%,1586-1291,55.1%,17-21,44.7%,133,81.2%,28.7%,6.2%,3.4%,59.7%,71.9%,53.7%,64.6%,40.3%,52.2%,1.14,
