Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2022,1,0,1,0.0%,1-2,33.3%,13-18,41.9%,1-0,100.0%,0,,,,,,,,,,,,R32 (W60+H Bendigo)
2020,2,0,2,0.0%,0-4,0.0%,6-24,20.0%,0-0,-,0,,,,,,,,,,,,R32 (2x)
2019,23,6,17,26.1%,17-34,33.3%,197-269,42.3%,3-3,50.0%,1,28.6%,0.0%,9.3%,3.7%,55.6%,46.7%,33.3%,40.7%,32.0%,36.5%,0.54,QF (W25 Toowoomba)
2018,31,12,19,38.7%,27-42,39.1%,306-368,45.4%,10-3,76.9%,0,,,,,,,,,,,,F (Changsha $25K)
2017,28,11,17,39.3%,25-37,40.3%,262-297,46.9%,1-3,25.0%,0,,,,,,,,,,,,SF (2x)
2016,35,11,24,31.4%,30-51,37.0%,342-409,45.5%,3-5,37.5%,0,,,,,,,,,,,,QF (Port Pirie $25K)
2015,42,20,22,47.6%,41-50,45.1%,402-447,47.3%,6-5,54.5%,0,,,,,,,,,,,,W (Mildura 15K)
2014,33,15,18,45.5%,37-42,46.8%,352-371,48.7%,1-5,16.7%,0,,,,,,,,,,,,F (Mildura 15K)
2013,25,10,15,40.0%,24-33,42.1%,242-278,46.5%,3-1,75.0%,0,,,,,,,,,,,,QF (3x)
2012,16,6,10,37.5%,17-23,42.5%,172-199,46.4%,4-0,100.0%,0,,,,,,,,,,,,QF (Salisbury 10K)
2011,14,3,11,21.4%,7-23,23.3%,91-164,35.7%,1-3,25.0%,0,,,,,,,,,,,,R16 (3x)
2010,32,13,19,40.6%,32-44,42.1%,326-356,47.8%,1-3,25.0%,0,,,,,,,,,,,,QF (4x)
2009,22,6,16,27.3%,19-34,35.8%,199-260,43.4%,0-0,-,0,,,,,,,,,,,,QF (Qianshan 10K)
2008,21,6,15,28.6%,20-32,38.5%,212-257,45.2%,1-2,33.3%,0,,,,,,,,,,,,QF (Kalgoorlie 25K)
2007,12,5,7,41.7%,12-17,41.4%,127-142,47.2%,1-2,33.3%,0,,,,,,,,,,,,R16 (5x)
2006,5,2,3,40.0%,3-8,27.3%,44-59,42.7%,0-0,-,0,,,,,,,,,,,,R16 (2x)
2005,3,1,2,33.3%,2-4,33.3%,21-26,44.7%,0-0,-,0,,,,,,,,,,,,R16 (Lyneham 25K)
Career,345,127,218,36.8%,314-480,39.5%,3314-3944,45.7%,36-35,50.7%,1,28.6%,0.0%,9.3%,3.7%,55.6%,46.7%,33.3%,40.7%,32.0%,36.5%,0.54,
