Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2022-10-24),1136,10,,,,,,,,,449,150,,
2020,569,64,,,,,,,,,156,554,,
2019,454,89,331,1162,324,1151,313,1105,,,130,602,,
2018,384,89,,,,,,,,,170,398,,
2018,384,89,,,,,,,,,170,398,,
2017,481,67,,,,,,,,,229,305,,
2016,413,85,,,,,,,,,229,273,,
2015,325,126,,,,,,,,,321,165,,
2014,484,56,,,,,,,,,347,135,,
2013,477,76,,,,,,,,,364,161,,
2012,696,29,,,,,,,,,418,111,,
2011,668,34,,,,,,,,,376,157,,
2010,402,95,,,,,,,,,260,247,,
2009,562,46,,,,,,,,,,,,
2008,510,35,,,,,,,,,,,,
2007,569,24,,,,,,,,,,,,
2006,625,18,,,,,,,,,,,,
2005,980,7,,,,,,,,,,,,
