Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,14,Hard,26,12,14,46.2%,2,2,0,100.0%,2001,2014,R16,15,1.02,2.6%,1.5%,67.9%,60.8%,47.6%,56.6%,44.3%,42.5%,41.2%
Roland Garros,12,Clay,27,15,12,55.6%,6,4,2,66.7%,2001,2013,R16,21,1.09,1.7%,1.4%,67.1%,61.3%,47.9%,56.9%,46.9%,56.3%,44.5%
Wimbledon,11,Grass,18,7,11,38.9%,6,2,4,33.3%,2001,2013,R32,13,1.01,1.7%,3.5%,67.7%,63.8%,49.7%,59.2%,41.3%,51.1%,39.3%
US Open,12,Hard,22,10,12,45.5%,1,0,1,0.0%,2001,2013,R32,14,0.99,2.4%,2.8%,65.5%,61.0%,44.8%,55.4%,44.0%,58.4%,53.1%
Olympics,3,,3,0,3,0.0%,0,0,0,-,2004,2012,R64,1,0.85,5.4%,1.1%,60.9%,64.3%,33.3%,52.2%,40.7%,30.0%,55.6%
Fed Cup,8,,23,10,13,43.5%,3,2,1,66.7%,2004,2011,,3,0.89,2.1%,2.1%,63.6%,57.9%,51.7%,55.6%,39.7%,40.7%,52.2%
Indian Wells,11,Hard,18,7,11,38.9%,2,1,1,50.0%,2004,2014,R16,14,0.99,1.8%,3.4%,61.7%,60.0%,46.2%,54.7%,44.9%,46.7%,50.0%
Miami,11,Hard,18,7,11,38.9%,5,3,2,60.0%,2004,2014,R16,12,0.97,1.6%,1.9%,67.4%,58.7%,47.3%,55.0%,43.8%,50.0%,47.1%
Palermo,10,Clay,38,33,5,86.8%,4,3,1,75.0%,2000,2013,W,7,1.08,0.9%,2.5%,68.1%,58.8%,49.3%,55.8%,47.6%,54.7%,55.8%
Strasbourg,9,Clay,32,26,6,81.3%,8,5,3,62.5%,2004,2012,W,18,1.15,1.7%,1.3%,64.6%,61.4%,50.4%,57.5%,48.8%,50.4%,52.0%
Rome,9,Clay,24,15,9,62.5%,3,2,1,66.7%,2003,2013,QF,20,1.12,0.8%,1.2%,67.8%,58.9%,51.7%,56.6%,48.5%,54.0%,44.6%
Hobart,9,Hard,22,13,9,59.1%,4,2,2,50.0%,2001,2012,F,8,1.07,2.0%,2.2%,67.0%,62.5%,49.7%,58.3%,44.6%,56.1%,40.0%
