Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2016,,,,,,,,,,,36,2145,,
2015,,,,,,,,,,,32,2290,,
2014,452,61,,,,,,,,,23,2705,,
2013,100,665,77,1725,97,1645,54,1706,87,1565,30,2465,,
2012,50,1160,69,1769,80,1693,50,1735,80,1590,24,2705,,
2011,27,1950,45,1836,61,1735,32,1812,66,1627,30,2725,,
2010,71,890,91,1728,97,1648,55,1727,93,1578,25,3020,,
2009,27,1910,56,1813,64,1723,29,1812,52,1656,,,,
2008,22,1121,29,1899,30,1823,21,1864,46,1654,,,,
2007,34,840,46,1843,57,1718,25,1865,69,1597,,,,
2006,27,698,35,1870,46,1754,20,1866,49,1644,,,,
2005,33,902,35,1878,50,1761,21,1869,62,1625,,,,
2004,39,803,43,1852,47,1767,33,1803,54,1641,,,,
2003,71,507,69,1774,81,1672,54,1743,,,,,,
2002,116,286,81,1744,59,1744,61,1720,,,,,,
2001,66,527,80,1740,108,1611,51,1739,111,1521,,,,
2000,109,295,68,1795,108,1616,42,1787,,,,,,
1999,310,54,,,,,,,,,,,,
1998,735,7,,,,,,,,,,,,
1997,978,2,,,,,,,,,,,,
