Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2013 US Open R128,L vs Mladenovic,84.6,,,,,102,,,,,,,66
2013 Roland Garros R128,L vs Li,85.8,,,,,105,,,,,,,69
2013 Australian Open R128,L vs Bartoli,86.7,,,,,101,,,,,,,67
2012 Wimbledon R64,L vs Cepelova,86.4,,,,,102,,,,,,,66
2012 Roland Garros R32,L vs Martic,87.5,,,,,105,,,,,,,68
2012 Roland Garros R64,W vs Pavlovic,81.1,,,,,99,,,,,,,68
2012 Roland Garros R128,W vs Robson,87.4,,,,,101,,,,,,,69
2012 Australian Open R32,L vs Li,79.9,,,,,97,,,,,,,66
2012 Australian Open R64,W vs Govortsova,86.0,,,,,100,,,,,,,65
2011 US Open R32,L vs Zvonareva,85.0,96.3,4.7,,,103,86,70.6,3.6,,,77,64
2011 US Open R64,W vs Robson,86.9,96.0,4.7,,,105,84,74.3,3.0,,,80,70
2011 Roland Garros R64,L vs Gajdosova,89.0,94.1,7.4,,,101,65,71.6,3.9,,,77,65
Career (12 matches),,85.9,95.3,5.9,,,105,65,71.9,3.5,,,80,64
