Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2024-08-26),1399,3,,,,,,,,,281,294,,
2023,662,58,,,,,,,,,,,,
2022,365,142,297,1377,250,1398,266,1346,,,,,,
2021,362,165,,,,,,,,,,,,
2020,501,82,,,,,,,,,211,397,,
2019,506,72,282,1378,222,1434,287,1295,,,192,395,,
2018,335,119,,,,,,,,,270,265,,
2017,259,209,,,,,,,,,187,401,,
2016,465,69,,,,,,,,,188,348,,
2015,259,175,,,,,,,,,251,249,,
2014,319,112,,,,,,,,,190,310,,
2013,315,156,230,1464,190,1494,200,1437,,,290,220,,
2012,304,153,,,,,,,,,334,162,,
2011,374,117,,,,,,,,,308,206,,
2010,489,67,,,,,,,,,468,90,,
2009,781,20,,,,,,,,,,,,
