Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2019 Ostrava CH R32,L vs Satral,71% (15/21),25% (1/4),1/1,0/0,87% (13/15),4/6,4/5,64% (7/11),45% (5/11)
2019 Barletta CH R64,L vs Coria,89% (8/9),40% (2/5),1/3,0/0,45% (5/11),1/3,0/1,71% (5/7),43% (3/7)
2019 Sophia Antipolis CH R64,L vs Hemery,78% (7/9),27% (3/11),0/0,0/0,56% (5/9),3/5,1/2,50% (3/6),33% (2/6)
2019 Marbella CH R64,L vs Cachin,89% (8/9),27% (4/15),1/1,0/0,38% (3/8),2/4,0/1,- (0/0),- (0/0)
2019 Bangkok CH R16,L vs Soeda,64% (9/14),33% (1/3),1/1,0/0,44% (4/9),3/5,3/4,83% (5/6),40% (2/5)
2019 Bangkok CH R32,W vs Nedovyesov,57% (13/23),56% (5/9),2/4,1/3,25% (1/4),0/1,0/0,0% (0/5),50% (2/4)
2019 Bangkok CH R64,W vs Echargui,85% (11/13),44% (4/9),2/3,1/2,83% (5/6),0/1,0/0,- (0/0),- (0/0)
2019 Bangkok CH R16,L vs Laaksonen,58% (7/12),- (0/0),0/0,0/0,79% (11/14),1/3,1/2,- (0/0),- (0/0)
2019 Bangkok CH R32,W vs Li,72% (13/18),60% (3/5),2/4,1/2,60% (3/5),0/1,0/0,- (0/0),- (0/0)
2019 Quimper CH R32,L vs Bachinger,41% (14/34),25% (1/4),1/2,0/0,79% (11/14),2/4,1/2,88% (7/8),25% (2/8)
2019 Quimper CH R64,W vs Karatsev,76% (13/17),36% (4/11),2/4,1/2,75% (3/4),1/2,0/0,- (0/0),- (0/0)
2019 Rennes CH R64,L vs Rodionov,73% (11/15),20% (1/5),0/0,0/0,86% (6/7),0/2,0/1,40% (4/10),27% (3/11)
2019 Koblenz CH R16,L vs Kotov,75% (6/8),25% (2/8),0/0,0/0,60% (6/10),2/4,0/1,40% (2/5),20% (1/5)
2019 Koblenz CH R32,W vs Hassan,82% (9/11),38% (3/8),2/3,1/2,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2019 Columbus CH R32,L vs Miedler,46% (6/13),0% (0/1),0/0,0/0,73% (8/11),0/2,0/1,- (0/0),- (0/0)
2019 Orlando CH R32,L vs Blanch,80% (12/15),50% (2/4),1/1,0/0,60% (6/10),1/3,1/2,- (0/0),- (0/0)
2018 Fairfield CH R32,W vs Laaksonen,64% (9/14),50% (7/14),2/4,1/2,43% (3/7),1/2,0/0,- (0/0),- (0/0)
2018 Monterrey CH R32,L vs Karlovic,79% (11/14),- (0/0),0/0,0/0,80% (4/5),1/3,0/1,57% (4/7),29% (2/7)
2018 Davis Cup RR,L vs Raonic,67% (4/6),30% (3/10),0/0,0/0,47% (7/15),1/4,0/1,- (0/0),- (0/0)
2018 Scheveningen CH F,W vs Maden,62% (8/13),36% (4/11),2/2,1/1,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2019 (16 matches),,67.2%,35.3%,59.3%,45.5%,65.9%,43.5%,50.0%,56.9%,35.1%
2018 (11 matches),,66.9%,44.6%,57.7%,70.0%,68.6%,45.5%,0.0%,61.5%,43.6%
2017 (5 matches),,59.7%,25.0%,60.0%,50.0%,44.4%,41.7%,40.0%,75.0%,58.3%
2016 (22 matches),,64.5%,30.4%,46.7%,80.0%,58.7%,33.9%,35.7%,65.8%,28.9%
2015 (17 matches),,64.8%,36.1%,56.8%,40.9%,62.3%,40.0%,27.3%,62.2%,41.0%
Career (129 matches),,64.0%,37.0%,57.4%,57.9%,63.5%,44.7%,45.6%,61.2%,38.9%
