Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,18,Hard,34,16,18,47.1%,11,5,6,45.5%,2002,2024,QF,28,1.02,4.8%,5.1%,57.3%,63.6%,49.7%,57.7%,43.1%,50.7%,42.2%
Roland Garros,19,Clay,43,24,19,55.8%,8,2,6,25.0%,2004,2024,QF,36,1.04,4.0%,5.7%,59.7%,65.5%,45.0%,57.2%,44.5%,56.4%,43.6%
Wimbledon,15,Grass,30,15,15,50.0%,6,3,3,50.0%,2006,2023,QF,23,0.93,6.3%,6.4%,56.7%,69.1%,43.9%,58.2%,38.8%,58.0%,35.0%
US Open,19,Hard,50,31,19,62.0%,13,10,3,76.9%,2002,2023,QF,37,1.04,3.9%,5.9%,59.3%,66.9%,45.9%,58.3%,43.4%,55.2%,44.2%
Olympics,2,,4,2,2,50.0%,2,1,1,50.0%,2004,2008,R16,0,,,,,,,,,,
Fed Cup,12,,36,26,10,72.2%,6,5,1,83.3%,2000,2015,,0,,,,,,,,,,
Prague,3,Hard,8,5,3,62.5%,3,1,2,33.3%,2006,2023,SF,2,1.06,1.3%,1.3%,60.3%,67.0%,38.7%,55.8%,46.9%,50.0%,56.5%
Strasbourg,2,Clay,5,3,2,60.0%,1,0,1,0.0%,2018,2023,R16,5,1.21,5.5%,5.2%,60.8%,68.0%,48.1%,60.2%,48.2%,57.6%,59.0%
Rome,6,Clay,15,9,6,60.0%,3,1,2,33.3%,2007,2023,QF,12,1.00,1.5%,7.6%,58.5%,61.6%,39.7%,52.5%,47.5%,54.2%,39.9%
Madrid,10,Clay,18,8,10,44.4%,5,3,2,60.0%,2009,2023,QF,18,0.97,4.3%,4.3%,59.9%,67.3%,46.9%,59.1%,39.7%,63.0%,43.5%
Charleston,3,Clay,7,4,3,57.1%,3,1,2,33.3%,2019,2023,R16,7,1.00,2.1%,4.1%,58.1%,63.8%,48.5%,57.4%,42.7%,62.9%,36.6%
Miami,13,Hard,27,14,13,51.9%,8,5,3,62.5%,2007,2023,R16,27,0.99,4.5%,7.3%,55.6%,64.5%,43.6%,55.2%,44.4%,49.8%,45.2%
