Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2023 US Open R64,L vs Zheng,14,35,0.4,9.3%,23.2%,14,26,0.5,11.1%,20.6%,6.3%,2.4%,0.6,15.2%,23.8%
2023 US Open R128,W vs Strycova,21,35,0.6,15.9%,26.5%,20,34,0.6,16.7%,28.3%,12.5%,3.3%,0.4,11.4%,28.8%
2023 Wimbledon R128,L vs Kudermetova,19,17,1.1,11.9%,10.7%,16,14,1.1,11.6%,10.1%,5.1%,5.8%,1.8,28.3%,15.7%
2023 Roland Garros R128,L vs Keys,13,26,0.5,8.8%,17.6%,13,20,0.7,9.6%,14.8%,4.4%,5.2%,1.1,20.3%,18.9%
2023 Miami R128,L vs Giorgi,45,56,0.8,16.9%,21.1%,26,49,0.5,12.1%,22.8%,6.0%,6.0%,0.9,18.4%,21.4%
2022 Guadalajara 2 R64,L vs Samsonova,7,13,0.5,6.0%,11.2%,5,8,0.6,5.3%,8.4%,2.1%,3.2%,1.8,23.3%,12.9%
2022 US Open R64,L vs Sabalenka,36,32,1.1,17.9%,15.9%,27,27,1.0,15.6%,15.6%,9.2%,4.6%,0.7,13.9%,20.4%
2022 US Open R128,W vs Martincova,22,24,0.9,15.8%,17.3%,19,22,0.9,15.1%,17.5%,10.3%,4.0%,0.6,8.6%,15.1%
2022 Washington F,L vs Samsonova,16,23,0.7,11.2%,16.1%,10,21,0.5,8.1%,17.1%,6.5%,1.6%,1.6,19.6%,12.6%
2022 Wimbledon R128,L vs Parry,23,37,0.6,18.0%,28.9%,18,32,0.6,15.8%,28.1%,11.4%,4.4%,1.4,13.3%,9.4%
2022 Australian Open QF,L vs Swiatek,34,61,0.6,14.3%,25.7%,29,57,0.5,13.7%,27.0%,9.0%,4.7%,0.6,12.2%,20.3%
2022 Australian Open R16,W vs Sabalenka,29,31,0.9,13.6%,14.6%,24,27,0.9,13.2%,14.8%,10.4%,2.7%,0.8,15.0%,18.8%
2021 US Open R64,L vs Fernandez,27,50,0.5,15.6%,28.9%,23,46,0.5,14.3%,28.6%,8.1%,5.6%,0.5,10.4%,20.8%
2021 US Open R128,W vs Putintseva,29,35,0.8,15.3%,18.4%,25,31,0.8,14.0%,17.3%,7.8%,5.6%,0.6,10.5%,17.9%
2021 Wimbledon R128,L vs Samsonova,6,17,0.4,5.8%,16.5%,4,14,0.3,4.8%,16.9%,4.8%,0.0%,2.1,28.2%,13.6%
2021 Roland Garros R128,L vs Vondrousova,19,28,0.7,13.5%,19.9%,19,28,0.7,15.0%,22.0%,,,1.8,12.8%,7.1%
2021 Australian Open R32,L vs Vekic,39,41,1.0,17.0%,17.8%,39,41,1.0,18.4%,19.3%,,,1.1,14.8%,13.0%
2021 Australian Open R64,W vs Kenin,12,15,0.8,11.0%,13.8%,12,15,0.8,12.9%,16.1%,,,0.5,8.3%,17.4%
2021 Australian Open R128,W vs Sevastova,17,20,0.9,17.3%,20.4%,17,20,0.9,18.5%,21.7%,,,0.3,5.1%,17.3%
2021 Gippsland Trophy F,L vs Mertens,14,22,0.6,14.6%,22.9%,11,18,0.6,13.8%,22.5%,10.0%,3.8%,2.0,18.8%,9.4%
Career (70 matches),,1736,2178,0.8,15.8%,19.8%,1514,1908,0.8,15.4%,19.4%,6.6%,2.9%,0.9,15.1%,17.0%
